# metric: mean |SHAP|
rank,feature,value
1,headache_free_streak,0.02736192
2,consecutive_sedentary_days,0.01604574
3,migraine_rate_last7,0.01555784
4,dow,0.00610208
5,exercise_days_7day,0.00378585
6,weather_change_yesterday,0.00357947
7,menstruation_today,0.00328394
8,days_since_last_migraine,0.00278242
9,consecutive_exercise_days,0.00275219
10,weather_instability_3day,0.00266964
11,physical_fatigue_today,0.00246650
12,sleep_variability_7day,0.00226880
13,lack_of_sleep_today,0.00224785
14,days_since_last_record,0.00191711
15,migraine_yesterday,0.00182635
16,exercise_today,0.00103667
17,any_sleep_issue_today,0.00083189
18,stress_today,0.00078189
19,recent_weekend_sleep_issues,0.00065349
20,moderate_exercise_min,0.00064925
21,weather_change_today,0.00062799
22,sleep_disruption_today,0.00061576
23,sleep_debt_3day,0.00057661
24,consecutive_stress_days,0.00036532
25,alcohol_today,0.00026927
26,vigorous_exercise_min,0.00026765
27,exercise_as_trigger,0.00025341
28,emotional_changes_today,0.00021673
29,travel_today,0.00018443
30,irregular_meals_today,0.00014465
31,migraine_rate_last3,0.00012236
32,specific_smells_today,0.00010115
33,noise_today,0.00004012
34,stress_drop_today,0.00003791
35,consecutive_trigger_days,0.00000328
36,ovulation_today,0.00000000
37,overeating_today,0.00000000
38,excessive_caffeine_today,0.00000000
39,no_exercise_today,0.00000000
40,recording_gap_flag,0.00000000
41,consecutive_weather_changes,0.00000000
42,cheese_chocolate_today,0.00000000
43,excessive_smoking_today,0.00000000
44,inappropriate_lighting_today,0.00000000
45,oversleeping_today,0.00000000
46,sunlight_today,0.00000000
47,exercise_as_trigger_today,0.00000000
48,weather_headache_interaction,0.00000000
49,inappropriate_lighting,0.00000000
50,excessive_smoking,0.00000000
51,cheese_chocolate,0.00000000
52,sunlight,0.00000000
