# Training-script output capture
# Generated: 2026-05-22T17:37:48
# UUID:      8aded700-6c5f-4111-8c31-aecba43bcd38
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading datasets...
Running pareto_AUROC_slope search (500 trials, seed=42)...
[I 2026-05-22 17:37:48,624] A new study created in memory with name: no-name-06416289-7dc7-47e7-a08f-eee50dbc6281
[I 2026-05-22 17:37:50,211] Trial 0 finished with values: [0.5824506908001398, 0.9903256409180482] and parameters: {'n_estimators': 218, 'learning_rate': 0.2536999076681772, 'subsample': 0.892797576724562, 'colsample_bytree': 0.8394633936788146, 'min_child_weight': 2}.
[I 2026-05-22 17:37:51,566] Trial 1 finished with values: [0.5845363016105137, 0.7663387755564023] and parameters: {'n_estimators': 120, 'learning_rate': 0.012184186502221764, 'subsample': 0.9464704583099741, 'colsample_bytree': 0.8404460046972835, 'min_child_weight': 8}.
[I 2026-05-22 17:37:52,829] Trial 2 finished with values: [0.5978494114822206, 0.8159134221758411] and parameters: {'n_estimators': 59, 'learning_rate': 0.2708160864249968, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6849356442713105, 'min_child_weight': 2}.
[I 2026-05-22 17:37:54,253] Trial 3 finished with values: [0.5909872511874583, 0.6967525429386484] and parameters: {'n_estimators': 132, 'learning_rate': 0.028145092716060652, 'subsample': 0.8099025726528951, 'colsample_bytree': 0.7727780074568463, 'min_child_weight': 3}.
[I 2026-05-22 17:37:55,879] Trial 4 finished with values: [0.5878679231646293, 0.7530966437925903] and parameters: {'n_estimators': 325, 'learning_rate': 0.01607123851203988, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 5}.
[I 2026-05-22 17:37:57,342] Trial 5 finished with values: [0.5866816027471976, 0.8014416445413717] and parameters: {'n_estimators': 404, 'learning_rate': 0.019721610970574007, 'subsample': 0.8056937753654446, 'colsample_bytree': 0.836965827544817, 'min_child_weight': 1}.
[I 2026-05-22 17:37:58,786] Trial 6 finished with values: [0.5820346270346508, 0.7901051933082572] and parameters: {'n_estimators': 324, 'learning_rate': 0.0178601378893971, 'subsample': 0.6260206371941118, 'colsample_bytree': 0.9795542149013333, 'min_child_weight': 10}.
[I 2026-05-22 17:38:00,291] Trial 7 finished with values: [0.5877642160057974, 0.7450604010770798] and parameters: {'n_estimators': 414, 'learning_rate': 0.028180680291847244, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.8736932106048627, 'min_child_weight': 5}.
[I 2026-05-22 17:38:00,756] Trial 8 finished with values: [0.580480568194375, 0.5625932063657189] and parameters: {'n_estimators': 105, 'learning_rate': 0.05388108577817234, 'subsample': 0.6137554084460873, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 3}.
[I 2026-05-22 17:38:01,510] Trial 9 finished with values: [0.5872059771120404, 0.7647233792441799] and parameters: {'n_estimators': 348, 'learning_rate': 0.028869220380495747, 'subsample': 0.8080272084711243, 'colsample_bytree': 0.8186841117373118, 'min_child_weight': 2}.
[I 2026-05-22 17:38:02,315] Trial 10 finished with values: [0.5922090569498489, 0.5095697596436638] and parameters: {'n_estimators': 487, 'learning_rate': 0.13962563737015762, 'subsample': 0.9757995766256756, 'colsample_bytree': 0.9579309401710595, 'min_child_weight': 6}.
