# Training-script output capture
# Generated: 2026-05-15T16:22:28
# UUID:      16f91fec-8017-4fdc-9110-18246135ec29
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading datasets...
Running pareto_AUROC_slope search (500 trials, seed=42)...
[I 2026-05-15 16:22:28,459] A new study created in memory with name: no-name-5b4bd2aa-a44b-405e-8f26-a4eb5cb37eec
[I 2026-05-15 16:22:30,097] Trial 0 finished with values: [0.599982614227179, 0.8813969819757957] and parameters: {'n_estimators': 218, 'learning_rate': 0.2536999076681772, 'subsample': 0.892797576724562, 'colsample_bytree': 0.8394633936788146, 'min_child_weight': 2}.
[I 2026-05-15 16:22:31,427] Trial 1 finished with values: [0.6270197604873833, 0.6385519137302088] and parameters: {'n_estimators': 120, 'learning_rate': 0.012184186502221764, 'subsample': 0.9464704583099741, 'colsample_bytree': 0.8404460046972835, 'min_child_weight': 8}.
[I 2026-05-15 16:22:32,551] Trial 2 finished with values: [0.6273925443010887, 0.4890388176383428] and parameters: {'n_estimators': 59, 'learning_rate': 0.2708160864249968, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6849356442713105, 'min_child_weight': 2}.
[I 2026-05-15 16:22:33,891] Trial 3 finished with values: [0.6220096548014192, 0.5724052900418377] and parameters: {'n_estimators': 132, 'learning_rate': 0.028145092716060652, 'subsample': 0.8099025726528951, 'colsample_bytree': 0.7727780074568463, 'min_child_weight': 3}.
[I 2026-05-15 16:22:35,402] Trial 4 finished with values: [0.6214355607121572, 0.5921861009474823] and parameters: {'n_estimators': 325, 'learning_rate': 0.01607123851203988, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 5}.
[I 2026-05-15 16:22:37,027] Trial 5 finished with values: [0.6161183685660991, 0.5588951161947281] and parameters: {'n_estimators': 404, 'learning_rate': 0.019721610970574007, 'subsample': 0.8056937753654446, 'colsample_bytree': 0.836965827544817, 'min_child_weight': 1}.
[I 2026-05-15 16:22:38,470] Trial 6 finished with values: [0.6212236190316072, 0.5842849935532352] and parameters: {'n_estimators': 324, 'learning_rate': 0.0178601378893971, 'subsample': 0.6260206371941118, 'colsample_bytree': 0.9795542149013333, 'min_child_weight': 10}.
[I 2026-05-15 16:22:40,054] Trial 7 finished with values: [0.6206418839678485, 0.5592201802294293] and parameters: {'n_estimators': 414, 'learning_rate': 0.028180680291847244, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.8736932106048627, 'min_child_weight': 5}.
[I 2026-05-15 16:22:40,477] Trial 8 finished with values: [0.6250646754909692, 0.5368965181601696] and parameters: {'n_estimators': 105, 'learning_rate': 0.05388108577817234, 'subsample': 0.6137554084460873, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 3}.
[I 2026-05-15 16:22:41,130] Trial 9 finished with values: [0.6200456755904863, 0.56904884041251] and parameters: {'n_estimators': 348, 'learning_rate': 0.028869220380495747, 'subsample': 0.8080272084711243, 'colsample_bytree': 0.8186841117373118, 'min_child_weight': 2}.
[I 2026-05-15 16:22:41,955] Trial 10 finished with values: [0.5985081970475645, 0.6180848489642641] and parameters: {'n_estimators': 487, 'learning_rate': 0.13962563737015762, 'subsample': 0.9757995766256756, 'colsample_bytree': 0.9579309401710595, 'min_child_weight': 6}.
[I 2026-05-15 16:22:42,725] Trial 11 finished with values: [0.6173590923130329, 0.6210529758960258] and parameters: {'n_estimators': 465, 'learning_rate': 0.01351182947645082, 'subsample': 0.6783931449676581, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 4}.
[I 2026-05-15 16:22:43,336] Trial 12 finished with values: [0.6242089619723152, 0.5640656852292715] and parameters: {'n_estimators': 225, 'learning_rate': 0.02516607127550297, 'subsample': 0.9314950036607718, 'colsample_bytree': 0.7427013306774357, 'min_child_weight': 3}.
[I 2026-05-15 16:22:43,997] Trial 13 finished with values: [0.6161505101032646, 0.6404520974593422] and parameters: {'n_estimators': 294, 'learning_rate': 0.016149614799999188, 'subsample': 0.9208787923016158, 'colsample_bytree': 0.6298202574719083, 'min_child_weight': 10}.
[I 2026-05-15 16:22:44,699] Trial 14 finished with values: [0.6196691453556165, 0.6304606951743232] and parameters: {'n_estimators': 398, 'learning_rate': 0.019657448966046126, 'subsample': 0.602208846849441, 'colsample_bytree': 0.9261845713819337, 'min_child_weight': 8}.
[I 2026-05-15 16:22:45,524] Trial 15 finished with values: [0.6087784657994983, 0.621575295463702] and parameters: {'n_estimators': 378, 'learning_rate': 0.13780336485751998, 'subsample': 0.6296178606936361, 'colsample_bytree': 0.7433862914177091, 'min_child_weight': 2}.
[I 2026-05-15 16:22:46,374] Trial 16 finished with values: [0.6109906735003556, 0.55324973369069] and parameters: {'n_estimators': 439, 'learning_rate': 0.08330803890301997, 'subsample': 0.7323592099410596, 'colsample_bytree': 0.6254233401144095, 'min_child_weight': 4}.
[I 2026-05-15 16:22:46,904] Trial 17 finished with values: [0.6177273942402628, 0.522845082865742] and parameters: {'n_estimators': 196, 'learning_rate': 0.1195960383019184, 'subsample': 0.8550229885420852, 'colsample_bytree': 0.9548850970305306, 'min_child_weight': 5}.
[I 2026-05-15 16:22:47,465] Trial 18 finished with values: [0.621878121960374, 0.5270015289873411] and parameters: {'n_estimators': 103, 'learning_rate': 0.1131225105716033, 'subsample': 0.9043140194467589, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 8}.
[I 2026-05-15 16:22:48,113] Trial 19 finished with values: [0.6258224663585286, 0.6026539364109427] and parameters: {'n_estimators': 272, 'learning_rate': 0.05917520523090666, 'subsample': 0.7710164073434198, 'colsample_bytree': 0.610167650697638, 'min_child_weight': 2}.
[I 2026-05-15 16:22:48,599] Trial 20 finished with values: [0.6204737168076356, 0.6626753354401543] and parameters: {'n_estimators': 64, 'learning_rate': 0.08710745900492396, 'subsample': 0.7257423924305306, 'colsample_bytree': 0.8034282764658811, 'min_child_weight': 10}.
[I 2026-05-15 16:22:49,206] Trial 21 finished with values: [0.6160948374137981, 0.5739768784614775] and parameters: {'n_estimators': 162, 'learning_rate': 0.040381768820718394, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.6915192661966489, 'min_child_weight': 1}.
[I 2026-05-15 16:22:49,808] Trial 22 finished with values: [0.6185357426178653, 0.6127912661822477] and parameters: {'n_estimators': 180, 'learning_rate': 0.017303875834205888, 'subsample': 0.9718790609370292, 'colsample_bytree': 0.9232481518257668, 'min_child_weight': 7}.
[I 2026-05-15 16:22:50,612] Trial 23 finished with values: [0.5853619210576465, 0.4599041348356917] and parameters: {'n_estimators': 443, 'learning_rate': 0.1538583627271404, 'subsample': 0.6746280235544143, 'colsample_bytree': 0.9570235993959911, 'min_child_weight': 6}.
[I 2026-05-15 16:22:51,430] Trial 24 finished with values: [0.5865164568229332, 0.8021066740887035] and parameters: {'n_estimators': 414, 'learning_rate': 0.21068591627429098, 'subsample': 0.7272013899887455, 'colsample_bytree': 0.6440207698110707, 'min_child_weight': 3}.
[I 2026-05-15 16:22:52,077] Trial 25 finished with values: [0.6102216446386637, 0.579697602374545] and parameters: {'n_estimators': 242, 'learning_rate': 0.16155001304356414, 'subsample': 0.9442922333025374, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 6}.
[I 2026-05-15 16:22:52,672] Trial 26 finished with values: [0.6211549629805672, 0.6283842526417399] and parameters: {'n_estimators': 238, 'learning_rate': 0.0212853192163843, 'subsample': 0.6479461469334731, 'colsample_bytree': 0.7350460685614512, 'min_child_weight': 10}.
[I 2026-05-15 16:22:53,168] Trial 27 finished with values: [0.6123695337063104, 0.6524647519728386] and parameters: {'n_estimators': 195, 'learning_rate': 0.05838706626832953, 'subsample': 0.881207583558071, 'colsample_bytree': 0.7454518409517176, 'min_child_weight': 10}.
[I 2026-05-15 16:22:53,858] Trial 28 finished with values: [0.6270002227393393, 0.5391880849756541] and parameters: {'n_estimators': 484, 'learning_rate': 0.023545774516299134, 'subsample': 0.7988994023569542, 'colsample_bytree': 0.7203513239267079, 'min_child_weight': 3}.
[I 2026-05-15 16:22:54,351] Trial 29 finished with values: [0.6209005961741602, 0.6109658826261907] and parameters: {'n_estimators': 66, 'learning_rate': 0.07950609693143304, 'subsample': 0.8010716092915446, 'colsample_bytree': 0.6205915004999957, 'min_child_weight': 3}.
[I 2026-05-15 16:22:55,144] Trial 30 finished with values: [0.6230461811206472, 0.6236836857316319] and parameters: {'n_estimators': 459, 'learning_rate': 0.022587177280197233, 'subsample': 0.6579579488364892, 'colsample_bytree': 0.7957811041110252, 'min_child_weight': 10}.
[I 2026-05-15 16:22:55,566] Trial 31 finished with values: [0.6122705345133324, 0.6191113732837064] and parameters: {'n_estimators': 159, 'learning_rate': 0.09836162684900028, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 8}.
[I 2026-05-15 16:22:56,213] Trial 32 finished with values: [0.616696617693572, 0.6531301049317328] and parameters: {'n_estimators': 215, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.8143098736299034, 'min_child_weight': 1}.
[I 2026-05-15 16:22:56,887] Trial 33 finished with values: [0.6206226269065387, 0.5850823321638922] and parameters: {'n_estimators': 426, 'learning_rate': 0.029773579612263783, 'subsample': 0.6746074041599417, 'colsample_bytree': 0.6163100566219055, 'min_child_weight': 6}.
[I 2026-05-15 16:22:57,607] Trial 34 finished with values: [0.6203450800957112, 0.5948276461467957] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.6905983100791752, 'min_child_weight': 7}.
[I 2026-05-15 16:22:57,963] Trial 35 finished with values: [0.6281692152744894, 0.5646553960413534] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 2}.
[I 2026-05-15 16:22:58,467] Trial 36 finished with values: [0.6217885447384631, 0.6036724351337465] and parameters: {'n_estimators': 203, 'learning_rate': 0.01471005003927122, 'subsample': 0.9698774473114251, 'colsample_bytree': 0.9509357413523924, 'min_child_weight': 3}.
[I 2026-05-15 16:22:59,186] Trial 37 finished with values: [0.6038519893778899, 0.6695161493247854] and parameters: {'n_estimators': 347, 'learning_rate': 0.16111511355977057, 'subsample': 0.822080324639785, 'colsample_bytree': 0.8118602313424026, 'min_child_weight': 3}.
[I 2026-05-15 16:22:59,684] Trial 38 finished with values: [0.6232551450935152, 0.5141263372954803] and parameters: {'n_estimators': 91, 'learning_rate': 0.21149322814164553, 'subsample': 0.9601672228653322, 'colsample_bytree': 0.8532405829093072, 'min_child_weight': 4}.
[I 2026-05-15 16:23:00,217] Trial 39 finished with values: [0.6110558381940658, 0.6350043694445263] and parameters: {'n_estimators': 207, 'learning_rate': 0.11812030596598909, 'subsample': 0.9588441039810308, 'colsample_bytree': 0.954834569706047, 'min_child_weight': 8}.
[I 2026-05-15 16:23:00,821] Trial 40 finished with values: [0.6202805512574976, 0.6211864301830948] and parameters: {'n_estimators': 339, 'learning_rate': 0.013313275850595153, 'subsample': 0.6646514856378455, 'colsample_bytree': 0.9594216754108317, 'min_child_weight': 7}.
[I 2026-05-15 16:23:01,301] Trial 41 finished with values: [0.6225932893732704, 0.6309166646545405] and parameters: {'n_estimators': 54, 'learning_rate': 0.01412166070620751, 'subsample': 0.8654007076432223, 'colsample_bytree': 0.6020246335384875, 'min_child_weight': 2}.
[I 2026-05-15 16:23:01,992] Trial 42 finished with values: [0.6159649930221832, 0.5750423685946957] and parameters: {'n_estimators': 297, 'learning_rate': 0.10519936117151477, 'subsample': 0.8607845038010402, 'colsample_bytree': 0.689707723784224, 'min_child_weight': 8}.
[I 2026-05-15 16:23:02,471] Trial 43 finished with values: [0.6175921240532427, 0.5880115693532122] and parameters: {'n_estimators': 156, 'learning_rate': 0.030245085073501415, 'subsample': 0.8985965620472096, 'colsample_bytree': 0.8598531596188859, 'min_child_weight': 9}.
[I 2026-05-15 16:23:03,209] Trial 44 finished with values: [0.6090716432787486, 0.5850975016729096] and parameters: {'n_estimators': 346, 'learning_rate': 0.06909724267901692, 'subsample': 0.637469907131237, 'colsample_bytree': 0.7470863212237734, 'min_child_weight': 3}.
[I 2026-05-15 16:23:03,712] Trial 45 finished with values: [0.58861379094763, 0.7797554975388281] and parameters: {'n_estimators': 160, 'learning_rate': 0.2736872535680783, 'subsample': 0.7572390898667042, 'colsample_bytree': 0.9568186220708453, 'min_child_weight': 7}.
[I 2026-05-15 16:23:04,480] Trial 46 finished with values: [0.6252039948989874, 0.546030578209661] and parameters: {'n_estimators': 408, 'learning_rate': 0.05526573288655769, 'subsample': 0.8307615538505436, 'colsample_bytree': 0.7970070775275455, 'min_child_weight': 2}.
[I 2026-05-15 16:23:05,254] Trial 47 finished with values: [0.6254841696348242, 0.5361927366355937] and parameters: {'n_estimators': 375, 'learning_rate': 0.025985724173338116, 'subsample': 0.6097263865725815, 'colsample_bytree': 0.858188918362867, 'min_child_weight': 2}.
