# metric: mean |SHAP|
rank,feature,value
1,migraine_rate_last7,0.04489948
2,headache_free_streak,0.02209144
3,consecutive_sedentary_days,0.00688079
4,exercise_days_7day,0.00505866
5,migraine_rate_last3,0.00398780
6,days_since_last_migraine,0.00315292
7,dow,0.00294759
8,days_since_last_record,0.00154014
9,consecutive_exercise_days,0.00148328
10,lack_of_sleep_today,0.00145457
11,menstruation_today,0.00094714
12,physical_fatigue_today,0.00089010
13,sleep_disruption_today,0.00080338
14,migraine_yesterday,0.00068372
15,moderate_exercise_min,0.00061143
16,any_sleep_issue_today,0.00060010
17,weather_change_yesterday,0.00057198
18,sleep_variability_7day,0.00031670
19,consecutive_stress_days,0.00031218
20,weather_instability_3day,0.00021129
21,vigorous_exercise_min,0.00020598
22,stress_today,0.00014783
23,specific_smells_today,0.00005396
24,weather_headache_interaction,0.00004019
25,alcohol_today,0.00003995
26,exercise_as_trigger,0.00003366
27,recent_weekend_sleep_issues,0.00002955
28,noise_today,0.00001939
29,consecutive_trigger_days,0.00001912
30,sleep_debt_3day,0.00001800
31,stress_drop_today,0.00000821
32,sunlight,0.00000771
33,recording_gap_flag,0.00000447
34,weather_change_today,0.00000435
35,excessive_caffeine_today,0.00000379
36,consecutive_weather_changes,0.00000338
37,exercise_as_trigger_today,0.00000254
38,exercise_today,0.00000232
39,sunlight_today,0.00000159
40,no_exercise_today,0.00000133
41,ovulation_today,0.00000000
42,overeating_today,0.00000000
43,travel_today,0.00000000
44,emotional_changes_today,0.00000000
45,irregular_meals_today,0.00000000
46,cheese_chocolate_today,0.00000000
47,excessive_smoking_today,0.00000000
48,inappropriate_lighting_today,0.00000000
49,oversleeping_today,0.00000000
50,inappropriate_lighting,0.00000000
51,cheese_chocolate,0.00000000
52,excessive_smoking,0.00000000
