# metric: mean |SHAP|
rank,feature,value
1,migraine_rate_last7,0.03794035
2,headache_free_streak,0.01682551
3,consecutive_sedentary_days,0.01054371
4,dow,0.00930177
5,exercise_days_7day,0.00401193
6,consecutive_exercise_days,0.00396764
7,days_since_last_migraine,0.00375770
8,migraine_rate_last3,0.00331952
9,lack_of_sleep_today,0.00324367
10,menstruation_today,0.00307189
11,vigorous_exercise_min,0.00213007
12,physical_fatigue_today,0.00208048
13,days_since_last_record,0.00202994
14,sleep_disruption_today,0.00200215
15,sleep_variability_7day,0.00187257
16,consecutive_trigger_days,0.00185498
17,sleep_debt_3day,0.00101327
18,any_sleep_issue_today,0.00093223
19,recent_weekend_sleep_issues,0.00089539
20,ovulation_today,0.00078658
21,weather_change_yesterday,0.00076127
22,alcohol_today,0.00070734
23,migraine_yesterday,0.00068109
24,moderate_exercise_min,0.00056788
25,consecutive_stress_days,0.00032632
26,no_exercise_today,0.00027466
27,weather_instability_3day,0.00023651
28,irregular_meals_today,0.00020536
29,excessive_caffeine_today,0.00019714
30,travel_today,0.00015530
31,emotional_changes_today,0.00013650
32,exercise_as_trigger,0.00011645
33,sunlight,0.00008350
34,stress_today,0.00007930
35,overeating_today,0.00007026
36,stress_drop_today,0.00004699
37,exercise_today,0.00004422
38,weather_change_today,0.00003803
39,cheese_chocolate,0.00001770
40,noise_today,0.00000988
41,sunlight_today,0.00000119
42,consecutive_weather_changes,0.00000113
43,specific_smells_today,0.00000102
44,exercise_as_trigger_today,0.00000061
45,recording_gap_flag,0.00000016
46,oversleeping_today,0.00000000
47,excessive_smoking_today,0.00000000
48,inappropriate_lighting_today,0.00000000
49,weather_headache_interaction,0.00000000
50,cheese_chocolate_today,0.00000000
51,inappropriate_lighting,0.00000000
52,excessive_smoking,0.00000000
