# Training-script output capture
# Generated: 2026-05-15T16:33:45
# UUID:      524beab8-0aab-4f62-9728-eb5568299b50
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading train and chronologically subsplitting...
train_sub: (3235, 52), cal_sub: (706, 52)
Running pareto_AUROC_slope search (500 trials)...
[I 2026-05-15 16:33:45,811] A new study created in memory with name: no-name-f6fd1a17-5824-4fac-b2dc-4dbcc1f36a58
[I 2026-05-15 16:33:47,428] Trial 0 finished with values: [0.5940556658912934, 1.3981265341028268] and parameters: {'n_estimators': 218, 'learning_rate': 0.2536999076681772, 'subsample': 0.892797576724562, 'colsample_bytree': 0.8394633936788146, 'min_child_weight': 2}.
[I 2026-05-15 16:33:48,807] Trial 1 finished with values: [0.5956090273335783, 0.45967769735244646] and parameters: {'n_estimators': 120, 'learning_rate': 0.012184186502221764, 'subsample': 0.9464704583099741, 'colsample_bytree': 0.8404460046972835, 'min_child_weight': 8}.
[I 2026-05-15 16:33:50,091] Trial 2 finished with values: [0.6019022552189297, 0.8222742757561882] and parameters: {'n_estimators': 59, 'learning_rate': 0.2708160864249968, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6849356442713105, 'min_child_weight': 2}.
[I 2026-05-15 16:33:51,475] Trial 3 finished with values: [0.5972639496385705, 0.49272423362917095] and parameters: {'n_estimators': 132, 'learning_rate': 0.028145092716060652, 'subsample': 0.8099025726528951, 'colsample_bytree': 0.7727780074568463, 'min_child_weight': 3}.
[I 2026-05-15 16:33:52,940] Trial 4 finished with values: [0.6046794926626498, 0.47031383074379063] and parameters: {'n_estimators': 325, 'learning_rate': 0.01607123851203988, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 5}.
[I 2026-05-15 16:33:54,503] Trial 5 finished with values: [0.6009674417598718, 0.473369902589811] and parameters: {'n_estimators': 404, 'learning_rate': 0.019721610970574007, 'subsample': 0.8056937753654446, 'colsample_bytree': 0.836965827544817, 'min_child_weight': 1}.
[I 2026-05-15 16:33:55,972] Trial 6 finished with values: [0.6013191728580759, 0.5775807124415138] and parameters: {'n_estimators': 324, 'learning_rate': 0.0178601378893971, 'subsample': 0.6260206371941118, 'colsample_bytree': 0.9795542149013333, 'min_child_weight': 10}.
[I 2026-05-15 16:33:57,468] Trial 7 finished with values: [0.6059805278949474, 0.4828303452092526] and parameters: {'n_estimators': 414, 'learning_rate': 0.028180680291847244, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.8736932106048627, 'min_child_weight': 5}.
[I 2026-05-15 16:33:57,999] Trial 8 finished with values: [0.6083159264736853, 0.4166388581802292] and parameters: {'n_estimators': 105, 'learning_rate': 0.05388108577817234, 'subsample': 0.6137554084460873, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 3}.
[I 2026-05-15 16:33:58,639] Trial 9 finished with values: [0.6082327135994037, 0.4134356616126361] and parameters: {'n_estimators': 348, 'learning_rate': 0.028869220380495747, 'subsample': 0.8080272084711243, 'colsample_bytree': 0.8186841117373118, 'min_child_weight': 2}.
[I 2026-05-15 16:33:59,327] Trial 10 finished with values: [0.5921486520980696, 1.290695165156451] and parameters: {'n_estimators': 487, 'learning_rate': 0.13962563737015762, 'subsample': 0.9757995766256756, 'colsample_bytree': 0.9579309401710595, 'min_child_weight': 6}.
[I 2026-05-15 16:34:00,094] Trial 11 finished with values: [0.6127708501686367, 0.4134906085589412] and parameters: {'n_estimators': 465, 'learning_rate': 0.01351182947645082, 'subsample': 0.6783931449676581, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 4}.
[I 2026-05-15 16:34:00,620] Trial 12 finished with values: [0.611593900286696, 0.3545283657673674] and parameters: {'n_estimators': 225, 'learning_rate': 0.02516607127550297, 'subsample': 0.9314950036607718, 'colsample_bytree': 0.7427013306774357, 'min_child_weight': 3}.
