# metric: mean |SHAP|
rank,feature,value
1,headache_free_streak,0.02186557
2,migraine_rate_last7,0.01820532
3,consecutive_sedentary_days,0.01736902
4,days_since_last_migraine,0.00637249
5,exercise_days_7day,0.00410455
6,migraine_rate_last3,0.00306057
7,dow,0.00251767
8,sleep_variability_7day,0.00228287
9,menstruation_today,0.00198401
10,lack_of_sleep_today,0.00189384
11,migraine_yesterday,0.00177243
12,weather_change_yesterday,0.00109823
13,weather_instability_3day,0.00097578
14,consecutive_exercise_days,0.00087557
15,physical_fatigue_today,0.00056125
16,vigorous_exercise_min,0.00053623
17,days_since_last_record,0.00044994
18,consecutive_stress_days,0.00042417
19,moderate_exercise_min,0.00038290
20,sleep_debt_3day,0.00029311
21,weather_change_today,0.00028570
22,irregular_meals_today,0.00028500
23,sleep_disruption_today,0.00027865
24,specific_smells_today,0.00016176
25,stress_today,0.00015913
26,exercise_as_trigger,0.00014871
27,alcohol_today,0.00013274
28,exercise_today,0.00012840
29,recent_weekend_sleep_issues,0.00012240
30,consecutive_trigger_days,0.00010370
31,recording_gap_flag,0.00009442
32,sunlight,0.00008173
33,consecutive_weather_changes,0.00007929
34,any_sleep_issue_today,0.00006819
35,emotional_changes_today,0.00005237
36,stress_drop_today,0.00003858
37,excessive_caffeine_today,0.00003777
38,oversleeping_today,0.00002719
39,exercise_as_trigger_today,0.00002405
40,noise_today,0.00001643
41,no_exercise_today,0.00001375
42,travel_today,0.00000997
43,sunlight_today,0.00000831
44,weather_headache_interaction,0.00000691
45,overeating_today,0.00000000
46,ovulation_today,0.00000000
47,inappropriate_lighting_today,0.00000000
48,cheese_chocolate_today,0.00000000
49,excessive_smoking_today,0.00000000
50,inappropriate_lighting,0.00000000
51,cheese_chocolate,0.00000000
52,excessive_smoking,0.00000000
