# Training-script output capture
# Generated: 2026-05-22T17:49:55
# UUID:      43fd5017-a108-4ba7-a024-5b09ffeca326
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading train and chronologically subsplitting...
train_sub: (3071, 52), cal_sub: (158, 52)
Running pareto_AUROC_slope search (500 trials)...
[I 2026-05-22 17:49:55,976] A new study created in memory with name: no-name-a56427ba-5482-46b1-8ef8-2ed3cc201f13
[I 2026-05-22 17:49:57,541] Trial 0 finished with values: [0.5816623510589027, 1.8475810004515083] and parameters: {'n_estimators': 218, 'learning_rate': 0.2536999076681772, 'subsample': 0.892797576724562, 'colsample_bytree': 0.8394633936788146, 'min_child_weight': 2}.
[I 2026-05-22 17:49:58,843] Trial 1 finished with values: [0.6033435434297504, 1.6438124859973269] and parameters: {'n_estimators': 120, 'learning_rate': 0.012184186502221764, 'subsample': 0.9464704583099741, 'colsample_bytree': 0.8404460046972835, 'min_child_weight': 8}.
[I 2026-05-22 17:50:00,105] Trial 2 finished with values: [0.4451730102592172, 2.4963899299173993] and parameters: {'n_estimators': 59, 'learning_rate': 0.2708160864249968, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6849356442713105, 'min_child_weight': 2}.
[I 2026-05-22 17:50:01,410] Trial 3 finished with values: [0.5728340385667972, 3.8652562583991994] and parameters: {'n_estimators': 132, 'learning_rate': 0.028145092716060652, 'subsample': 0.8099025726528951, 'colsample_bytree': 0.7727780074568463, 'min_child_weight': 3}.
[I 2026-05-22 17:50:02,874] Trial 4 finished with values: [0.49416235105890277, 9.66537347095118] and parameters: {'n_estimators': 325, 'learning_rate': 0.01607123851203988, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 5}.
[I 2026-05-22 17:50:04,433] Trial 5 finished with values: [0.47224765974765975, 3.0300001488527823] and parameters: {'n_estimators': 404, 'learning_rate': 0.019721610970574007, 'subsample': 0.8056937753654446, 'colsample_bytree': 0.836965827544817, 'min_child_weight': 1}.
[I 2026-05-22 17:50:05,913] Trial 6 finished with values: [0.5099276521690315, 7.169067618356765] and parameters: {'n_estimators': 324, 'learning_rate': 0.0178601378893971, 'subsample': 0.6260206371941118, 'colsample_bytree': 0.9795542149013333, 'min_child_weight': 10}.
[I 2026-05-22 17:50:07,465] Trial 7 finished with values: [0.4345095995958065, 2.144701900343591] and parameters: {'n_estimators': 414, 'learning_rate': 0.028180680291847244, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.8736932106048627, 'min_child_weight': 5}.
[I 2026-05-22 17:50:07,884] Trial 8 finished with values: [0.5740709163122956, 1.7166417264261966] and parameters: {'n_estimators': 105, 'learning_rate': 0.05388108577817234, 'subsample': 0.6137554084460873, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 3}.
[I 2026-05-22 17:50:08,642] Trial 9 finished with values: [0.4258661038833453, 2.2522850989094385] and parameters: {'n_estimators': 348, 'learning_rate': 0.028869220380495747, 'subsample': 0.8080272084711243, 'colsample_bytree': 0.8186841117373118, 'min_child_weight': 2}.
[I 2026-05-22 17:50:09,411] Trial 10 finished with values: [0.4159321361907569, 5.110634791017729] and parameters: {'n_estimators': 487, 'learning_rate': 0.13962563737015762, 'subsample': 0.9757995766256756, 'colsample_bytree': 0.9579309401710595, 'min_child_weight': 6}.
[I 2026-05-22 17:50:10,251] Trial 11 finished with values: [0.4674318976043114, 0.8910768544037946] and parameters: {'n_estimators': 465, 'learning_rate': 0.01351182947645082, 'subsample': 0.6783931449676581, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 4}.
[I 2026-05-22 17:50:11,023] Trial 12 finished with values: [0.4479422796233141, 3.278175833375265] and parameters: {'n_estimators': 225, 'learning_rate': 0.02516607127550297, 'subsample': 0.9314950036607718, 'colsample_bytree': 0.7427013306774357, 'min_child_weight': 3}.
[I 2026-05-22 17:50:11,650] Trial 13 finished with values: [0.5885385527626907, 2.383035389601806] and parameters: {'n_estimators': 294, 'learning_rate': 0.016149614799999188, 'subsample': 0.9208787923016158, 'colsample_bytree': 0.6298202574719083, 'min_child_weight': 10}.
[I 2026-05-22 17:50:12,210] Trial 14 finished with values: [0.4928885450437175, 2.983621402926002] and parameters: {'n_estimators': 398, 'learning_rate': 0.019657448966046126, 'subsample': 0.602208846849441, 'colsample_bytree': 0.9261845713819337, 'min_child_weight': 8}.
[I 2026-05-22 17:50:12,897] Trial 15 finished with values: [0.42033703844048664, 10.387095149638416] and parameters: {'n_estimators': 378, 'learning_rate': 0.13780336485751998, 'subsample': 0.6296178606936361, 'colsample_bytree': 0.7433862914177091, 'min_child_weight': 2}.
[I 2026-05-22 17:50:13,689] Trial 16 finished with values: [0.40923610233955066, 3.154062757493756] and parameters: {'n_estimators': 439, 'learning_rate': 0.08330803890301997, 'subsample': 0.7323592099410596, 'colsample_bytree': 0.6254233401144095, 'min_child_weight': 4}.
[I 2026-05-22 17:50:14,309] Trial 17 finished with values: [0.4515911610739197, 2.473681823851674] and parameters: {'n_estimators': 196, 'learning_rate': 0.1195960383019184, 'subsample': 0.8550229885420852, 'colsample_bytree': 0.9548850970305306, 'min_child_weight': 5}.
[I 2026-05-22 17:50:14,824] Trial 18 finished with values: [0.48730825368756403, 2.42645439600618] and parameters: {'n_estimators': 103, 'learning_rate': 0.1131225105716033, 'subsample': 0.9043140194467589, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 8}.
[I 2026-05-22 17:50:15,382] Trial 19 finished with values: [0.44683381752347273, 2.814581655193848] and parameters: {'n_estimators': 272, 'learning_rate': 0.05917520523090666, 'subsample': 0.7710164073434198, 'colsample_bytree': 0.610167650697638, 'min_child_weight': 2}.
[I 2026-05-22 17:50:15,776] Trial 20 finished with values: [0.49426532917912225, 4.447526595142003] and parameters: {'n_estimators': 64, 'learning_rate': 0.08710745900492396, 'subsample': 0.7257423924305306, 'colsample_bytree': 0.8034282764658811, 'min_child_weight': 10}.
[I 2026-05-22 17:50:16,268] Trial 21 finished with values: [0.5661679157368813, 10.632088715949337] and parameters: {'n_estimators': 162, 'learning_rate': 0.040381768820718394, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.6915192661966489, 'min_child_weight': 1}.
[I 2026-05-22 17:50:16,730] Trial 22 finished with values: [0.4797334849058987, 4.387394516412997] and parameters: {'n_estimators': 180, 'learning_rate': 0.017303875834205888, 'subsample': 0.9718790609370292, 'colsample_bytree': 0.9232481518257668, 'min_child_weight': 7}.
[I 2026-05-22 17:50:17,437] Trial 23 finished with values: [0.38049468092571537, 10.857579988811302] and parameters: {'n_estimators': 443, 'learning_rate': 0.1538583627271404, 'subsample': 0.6746280235544143, 'colsample_bytree': 0.9570235993959911, 'min_child_weight': 6}.
[I 2026-05-22 17:50:18,225] Trial 24 finished with values: [0.42194469004813834, 4.572926085674683] and parameters: {'n_estimators': 414, 'learning_rate': 0.21068591627429098, 'subsample': 0.7272013899887455, 'colsample_bytree': 0.6440207698110707, 'min_child_weight': 3}.
[I 2026-05-22 17:50:18,846] Trial 25 finished with values: [0.42090876875359634, 3.5787194091406116] and parameters: {'n_estimators': 242, 'learning_rate': 0.16155001304356414, 'subsample': 0.9442922333025374, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 6}.
[I 2026-05-22 17:50:19,459] Trial 26 finished with values: [0.5552320604044741, 10.803987311622908] and parameters: {'n_estimators': 238, 'learning_rate': 0.0212853192163843, 'subsample': 0.6479461469334731, 'colsample_bytree': 0.7350460685614512, 'min_child_weight': 10}.
[I 2026-05-22 17:50:20,039] Trial 27 finished with values: [0.49504757694412865, 2.300368843598417] and parameters: {'n_estimators': 195, 'learning_rate': 0.05838706626832953, 'subsample': 0.881207583558071, 'colsample_bytree': 0.7454518409517176, 'min_child_weight': 10}.
[I 2026-05-22 17:50:20,901] Trial 28 finished with values: [0.4714243610795334, 2.3505123332830826] and parameters: {'n_estimators': 484, 'learning_rate': 0.023545774516299134, 'subsample': 0.7988994023569542, 'colsample_bytree': 0.7203513239267079, 'min_child_weight': 3}.
[I 2026-05-22 17:50:21,299] Trial 29 finished with values: [0.5855663972043283, 1.1066090658949919] and parameters: {'n_estimators': 66, 'learning_rate': 0.07950609693143304, 'subsample': 0.8010716092915446, 'colsample_bytree': 0.6205915004999957, 'min_child_weight': 3}.
[I 2026-05-22 17:50:22,010] Trial 30 finished with values: [0.48056046762943316, 2.9314559785353924] and parameters: {'n_estimators': 459, 'learning_rate': 0.022587177280197233, 'subsample': 0.6579579488364892, 'colsample_bytree': 0.7957811041110252, 'min_child_weight': 10}.
[I 2026-05-22 17:50:22,465] Trial 31 finished with values: [0.47881650597167835, 2.353594698245499] and parameters: {'n_estimators': 159, 'learning_rate': 0.09836162684900028, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 8}.
[I 2026-05-22 17:50:23,087] Trial 32 finished with values: [0.34673347087140194, 5.586327498431333] and parameters: {'n_estimators': 215, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.8143098736299034, 'min_child_weight': 1}.
[I 2026-05-22 17:50:23,871] Trial 33 finished with values: [0.47634099616858244, 3.1025556273154495] and parameters: {'n_estimators': 426, 'learning_rate': 0.029773579612263783, 'subsample': 0.6746074041599417, 'colsample_bytree': 0.6163100566219055, 'min_child_weight': 6}.
[I 2026-05-22 17:50:24,614] Trial 34 finished with values: [0.5707080754494548, 1.7437848611153441] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.6905983100791752, 'min_child_weight': 7}.
[I 2026-05-22 17:50:25,186] Trial 35 finished with values: [0.4251296436641264, 3.2250451720590227] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 2}.
[I 2026-05-22 17:50:25,845] Trial 36 finished with values: [0.44130790984239254, 5.334186867242141] and parameters: {'n_estimators': 203, 'learning_rate': 0.01471005003927122, 'subsample': 0.9698774473114251, 'colsample_bytree': 0.9509357413523924, 'min_child_weight': 3}.
[I 2026-05-22 17:50:26,469] Trial 37 finished with values: [0.6156779363675915, 22.5313207023296] and parameters: {'n_estimators': 347, 'learning_rate': 0.16111511355977057, 'subsample': 0.822080324639785, 'colsample_bytree': 0.8118602313424026, 'min_child_weight': 3}.
[I 2026-05-22 17:50:26,986] Trial 38 finished with values: [0.43386962654204037, 2.2481610678946664] and parameters: {'n_estimators': 91, 'learning_rate': 0.21149322814164553, 'subsample': 0.9601672228653322, 'colsample_bytree': 0.8532405829093072, 'min_child_weight': 4}.
[I 2026-05-22 17:50:27,499] Trial 39 finished with values: [0.4190772669220945, 3.017271439223919] and parameters: {'n_estimators': 207, 'learning_rate': 0.11812030596598909, 'subsample': 0.9588441039810308, 'colsample_bytree': 0.954834569706047, 'min_child_weight': 8}.
[I 2026-05-22 17:50:28,234] Trial 40 finished with values: [0.5786312506140092, 16.018206302541973] and parameters: {'n_estimators': 339, 'learning_rate': 0.013313275850595153, 'subsample': 0.6646514856378455, 'colsample_bytree': 0.9594216754108317, 'min_child_weight': 7}.
[I 2026-05-22 17:50:28,714] Trial 41 finished with values: [0.5492403828610726, 1.9704041206811442] and parameters: {'n_estimators': 54, 'learning_rate': 0.01412166070620751, 'subsample': 0.8654007076432223, 'colsample_bytree': 0.6020246335384875, 'min_child_weight': 2}.
[I 2026-05-22 17:50:29,365] Trial 42 finished with values: [0.4730042945560188, 2.8867438026721266] and parameters: {'n_estimators': 297, 'learning_rate': 0.10519936117151477, 'subsample': 0.8607845038010402, 'colsample_bytree': 0.689707723784224, 'min_child_weight': 8}.
[I 2026-05-22 17:50:29,838] Trial 43 finished with values: [0.5907617924859304, 3.086007025870985] and parameters: {'n_estimators': 156, 'learning_rate': 0.030245085073501415, 'subsample': 0.8985965620472096, 'colsample_bytree': 0.8598531596188859, 'min_child_weight': 9}.
[I 2026-05-22 17:50:30,489] Trial 44 finished with values: [0.4058457187767532, 3.6728385240798844] and parameters: {'n_estimators': 346, 'learning_rate': 0.06909724267901692, 'subsample': 0.637469907131237, 'colsample_bytree': 0.7470863212237734, 'min_child_weight': 3}.
[I 2026-05-22 17:50:30,960] Trial 45 finished with values: [0.489206770241253, 17.814732390036426] and parameters: {'n_estimators': 160, 'learning_rate': 0.2736872535680783, 'subsample': 0.7572390898667042, 'colsample_bytree': 0.9568186220708453, 'min_child_weight': 7}.
[I 2026-05-22 17:50:31,706] Trial 46 finished with values: [0.48469257434774676, 2.287066031963435] and parameters: {'n_estimators': 408, 'learning_rate': 0.05526573288655769, 'subsample': 0.8307615538505436, 'colsample_bytree': 0.7970070775275455, 'min_child_weight': 2}.
