# Training-script output capture
# Generated: 2026-05-15T16:57:06
# UUID:      c154dcbf-c1d1-469d-88fa-25e32a90af69
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading train and chronologically subsplitting...
train_sub: (3674, 52), cal_sub: (608, 52)
Running pareto_AUROC_slope search (500 trials)...
[I 2026-05-15 16:57:06,350] A new study created in memory with name: no-name-7cfa01ee-b2d4-4377-8977-f9d95f8c2d88
[I 2026-05-15 16:57:08,001] Trial 0 finished with values: [0.6449073931519, 0.41410883470949933] and parameters: {'n_estimators': 218, 'learning_rate': 0.2536999076681772, 'subsample': 0.892797576724562, 'colsample_bytree': 0.8394633936788146, 'min_child_weight': 2}.
[I 2026-05-15 16:57:09,369] Trial 1 finished with values: [0.6255189611840938, 0.37404695267056154] and parameters: {'n_estimators': 120, 'learning_rate': 0.012184186502221764, 'subsample': 0.9464704583099741, 'colsample_bytree': 0.8404460046972835, 'min_child_weight': 8}.
[I 2026-05-15 16:57:10,649] Trial 2 finished with values: [0.6551833859938849, 0.3740615576443584] and parameters: {'n_estimators': 59, 'learning_rate': 0.2708160864249968, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6849356442713105, 'min_child_weight': 2}.
[I 2026-05-15 16:57:11,909] Trial 3 finished with values: [0.6169821245739151, 0.48980840663030517] and parameters: {'n_estimators': 132, 'learning_rate': 0.028145092716060652, 'subsample': 0.8099025726528951, 'colsample_bytree': 0.7727780074568463, 'min_child_weight': 3}.
[I 2026-05-15 16:57:13,448] Trial 4 finished with values: [0.6336486985498102, 0.3798052242660189] and parameters: {'n_estimators': 325, 'learning_rate': 0.01607123851203988, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 5}.
[I 2026-05-15 16:57:15,092] Trial 5 finished with values: [0.6309155437891868, 0.43295523187330937] and parameters: {'n_estimators': 404, 'learning_rate': 0.019721610970574007, 'subsample': 0.8056937753654446, 'colsample_bytree': 0.836965827544817, 'min_child_weight': 1}.
[I 2026-05-15 16:57:16,618] Trial 6 finished with values: [0.6367966595119966, 0.3804223888679367] and parameters: {'n_estimators': 324, 'learning_rate': 0.0178601378893971, 'subsample': 0.6260206371941118, 'colsample_bytree': 0.9795542149013333, 'min_child_weight': 10}.
[I 2026-05-15 16:57:18,123] Trial 7 finished with values: [0.6566610747910396, 0.3542602413425356] and parameters: {'n_estimators': 414, 'learning_rate': 0.028180680291847244, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.8736932106048627, 'min_child_weight': 5}.
[I 2026-05-15 16:57:18,668] Trial 8 finished with values: [0.6481465883240813, 0.3297817051273263] and parameters: {'n_estimators': 105, 'learning_rate': 0.05388108577817234, 'subsample': 0.6137554084460873, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 3}.
[I 2026-05-15 16:57:19,427] Trial 9 finished with values: [0.6369582610434337, 0.49470453174161133] and parameters: {'n_estimators': 348, 'learning_rate': 0.028869220380495747, 'subsample': 0.8080272084711243, 'colsample_bytree': 0.8186841117373118, 'min_child_weight': 2}.
[I 2026-05-15 16:57:20,256] Trial 10 finished with values: [0.6437398608947833, 0.4545654111203546] and parameters: {'n_estimators': 487, 'learning_rate': 0.13962563737015762, 'subsample': 0.9757995766256756, 'colsample_bytree': 0.9579309401710595, 'min_child_weight': 6}.
