# metric: mean |SHAP|
rank,feature,value
1,headache_free_streak,0.01605300
2,migraine_rate_last7,0.01284566
3,consecutive_sedentary_days,0.00871109
4,days_since_last_migraine,0.00541647
5,sleep_variability_7day,0.00325593
6,dow,0.00274661
7,migraine_yesterday,0.00159229
8,days_since_last_record,0.00147200
9,migraine_rate_last3,0.00117698
10,exercise_today,0.00112189
11,menstruation_today,0.00109163
12,no_exercise_today,0.00102328
13,consecutive_stress_days,0.00100884
14,consecutive_exercise_days,0.00095211
15,physical_fatigue_today,0.00095052
16,exercise_days_7day,0.00087158
17,lack_of_sleep_today,0.00062775
18,stress_today,0.00061304
19,moderate_exercise_min,0.00047658
20,recording_gap_flag,0.00045685
21,weather_instability_3day,0.00039287
22,weather_change_yesterday,0.00038738
23,any_sleep_issue_today,0.00038470
24,alcohol_today,0.00036210
25,sleep_debt_3day,0.00035396
26,stress_drop_today,0.00029901
27,vigorous_exercise_min,0.00027515
28,irregular_meals_today,0.00017913
29,exercise_as_trigger,0.00017556
30,oversleeping_today,0.00014746
31,consecutive_weather_changes,0.00014666
32,exercise_as_trigger_today,0.00013659
33,consecutive_trigger_days,0.00010779
34,ovulation_today,0.00010063
35,recent_weekend_sleep_issues,0.00008702
36,sunlight,0.00008464
37,specific_smells_today,0.00008357
38,excessive_caffeine_today,0.00007386
39,overeating_today,0.00007153
40,sleep_disruption_today,0.00003911
41,sunlight_today,0.00002791
42,noise_today,0.00001488
43,weather_change_today,0.00000652
44,emotional_changes_today,0.00000000
45,travel_today,0.00000000
46,cheese_chocolate_today,0.00000000
47,excessive_smoking_today,0.00000000
48,inappropriate_lighting_today,0.00000000
49,weather_headache_interaction,0.00000000
50,inappropriate_lighting,0.00000000
51,cheese_chocolate,0.00000000
52,excessive_smoking,0.00000000
