# Training-script output capture
# Generated: 2026-05-15T17:08:26
# UUID:      716c8db6-9a0e-4578-a977-90a28c4d0948
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading train and chronologically subsplitting...
train_sub: (3432, 52), cal_sub: (180, 52)
Running pareto_AUROC_slope search (500 trials)...
[I 2026-05-15 17:08:26,851] A new study created in memory with name: no-name-42bd71a9-e750-4cbe-8330-093029953465
[I 2026-05-15 17:08:28,456] Trial 0 finished with values: [0.5736697184983475, 1.729055345688541] and parameters: {'n_estimators': 218, 'learning_rate': 0.2536999076681772, 'subsample': 0.892797576724562, 'colsample_bytree': 0.8394633936788146, 'min_child_weight': 2}.
[I 2026-05-15 17:08:29,801] Trial 1 finished with values: [0.3576967180445003, 9.40989580788698] and parameters: {'n_estimators': 120, 'learning_rate': 0.012184186502221764, 'subsample': 0.9464704583099741, 'colsample_bytree': 0.8404460046972835, 'min_child_weight': 8}.
[I 2026-05-15 17:08:31,101] Trial 2 finished with values: [0.42371898710608386, 7.9620687685766285] and parameters: {'n_estimators': 59, 'learning_rate': 0.2708160864249968, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6849356442713105, 'min_child_weight': 2}.
[I 2026-05-15 17:08:32,472] Trial 3 finished with values: [0.4151735456523763, 3.8495890969357776] and parameters: {'n_estimators': 132, 'learning_rate': 0.028145092716060652, 'subsample': 0.8099025726528951, 'colsample_bytree': 0.7727780074568463, 'min_child_weight': 3}.
[I 2026-05-15 17:08:33,850] Trial 4 finished with values: [0.4567231357352325, 2.8244973555535355] and parameters: {'n_estimators': 325, 'learning_rate': 0.01607123851203988, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 5}.
[I 2026-05-15 17:08:35,344] Trial 5 finished with values: [0.4615839413722478, 2.896055112992882] and parameters: {'n_estimators': 404, 'learning_rate': 0.019721610970574007, 'subsample': 0.8056937753654446, 'colsample_bytree': 0.836965827544817, 'min_child_weight': 1}.
[I 2026-05-15 17:08:36,857] Trial 6 finished with values: [0.4598304036912907, 3.116143814866058] and parameters: {'n_estimators': 324, 'learning_rate': 0.0178601378893971, 'subsample': 0.6260206371941118, 'colsample_bytree': 0.9795542149013333, 'min_child_weight': 10}.
[I 2026-05-15 17:08:38,311] Trial 7 finished with values: [0.48052781559838015, 4.074138555078152] and parameters: {'n_estimators': 414, 'learning_rate': 0.028180680291847244, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.8736932106048627, 'min_child_weight': 5}.
[I 2026-05-15 17:08:38,804] Trial 8 finished with values: [0.4624600119862217, 3.228612809411193] and parameters: {'n_estimators': 105, 'learning_rate': 0.05388108577817234, 'subsample': 0.6137554084460873, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 3}.
[I 2026-05-15 17:08:39,516] Trial 9 finished with values: [0.4759469260578132, 3.142842035512043] and parameters: {'n_estimators': 348, 'learning_rate': 0.028869220380495747, 'subsample': 0.8080272084711243, 'colsample_bytree': 0.8186841117373118, 'min_child_weight': 2}.
[I 2026-05-15 17:08:40,217] Trial 10 finished with values: [0.504715821812596, 3.2279792201841717] and parameters: {'n_estimators': 487, 'learning_rate': 0.13962563737015762, 'subsample': 0.9757995766256756, 'colsample_bytree': 0.9579309401710595, 'min_child_weight': 6}.
[I 2026-05-15 17:08:40,986] Trial 11 finished with values: [0.4753062886933854, 3.3848730743059763] and parameters: {'n_estimators': 465, 'learning_rate': 0.01351182947645082, 'subsample': 0.6783931449676581, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 4}.
[I 2026-05-15 17:08:41,517] Trial 12 finished with values: [0.4255037558767397, 3.854418262222859] and parameters: {'n_estimators': 225, 'learning_rate': 0.02516607127550297, 'subsample': 0.9314950036607718, 'colsample_bytree': 0.7427013306774357, 'min_child_weight': 3}.
[I 2026-05-15 17:08:42,214] Trial 13 finished with values: [0.42505761823302146, 4.264463105273578] and parameters: {'n_estimators': 294, 'learning_rate': 0.016149614799999188, 'subsample': 0.9208787923016158, 'colsample_bytree': 0.6298202574719083, 'min_child_weight': 10}.
[I 2026-05-15 17:08:43,078] Trial 14 finished with values: [0.4507916870316063, 3.5082107946501546] and parameters: {'n_estimators': 398, 'learning_rate': 0.019657448966046126, 'subsample': 0.602208846849441, 'colsample_bytree': 0.9261845713819337, 'min_child_weight': 8}.
[I 2026-05-15 17:08:43,871] Trial 15 finished with values: [0.45311727586929207, 3.606679704715161] and parameters: {'n_estimators': 378, 'learning_rate': 0.13780336485751998, 'subsample': 0.6296178606936361, 'colsample_bytree': 0.7433862914177091, 'min_child_weight': 2}.
[I 2026-05-15 17:08:44,578] Trial 16 finished with values: [0.3893820113578178, 7.660910227201569] and parameters: {'n_estimators': 439, 'learning_rate': 0.08330803890301997, 'subsample': 0.7323592099410596, 'colsample_bytree': 0.6254233401144095, 'min_child_weight': 4}.
[I 2026-05-15 17:08:45,099] Trial 17 finished with values: [0.4508332460550203, 5.1110849762743555] and parameters: {'n_estimators': 196, 'learning_rate': 0.1195960383019184, 'subsample': 0.8550229885420852, 'colsample_bytree': 0.9548850970305306, 'min_child_weight': 5}.
[I 2026-05-15 17:08:45,509] Trial 18 finished with values: [0.4696357439603407, 2.9593861650718036] and parameters: {'n_estimators': 103, 'learning_rate': 0.1131225105716033, 'subsample': 0.9043140194467589, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 8}.
