# metric: mean |SHAP|
rank,feature,value
1,physical_fatigue_today,0.00581735
2,stress_today,0.00553075
3,exercise_today,0.00538621
4,menstruation_today,0.00538381
5,dow,0.00513403
6,lack_of_sleep_today,0.00303907
7,moderate_exercise_min,0.00152327
8,specific_smells_today,0.00122129
9,emotional_changes_today,0.00082343
10,any_sleep_issue_today,0.00070821
11,weather_change_today,0.00070011
12,vigorous_exercise_min,0.00043647
13,no_exercise_today,0.00032223
14,irregular_meals_today,0.00023472
15,travel_today,0.00014256
16,oversleeping_today,0.00012026
17,exercise_as_trigger_today,0.00010149
18,excessive_caffeine_today,0.00006765
19,noise_today,0.00002878
20,alcohol_today,0.00001949
21,ovulation_today,0.00000000
22,overeating_today,0.00000000
23,inappropriate_lighting_today,0.00000000
24,excessive_smoking_today,0.00000000
25,cheese_chocolate_today,0.00000000
26,sunlight_today,0.00000000
