# metric: mean |SHAP|
rank,feature,value
1,dow,0.00659258
2,lack_of_sleep_today,0.00385863
3,exercise_today,0.00287684
4,physical_fatigue_today,0.00232239
5,menstruation_today,0.00226792
6,moderate_exercise_min,0.00182408
7,any_sleep_issue_today,0.00144215
8,vigorous_exercise_min,0.00118663
9,ovulation_today,0.00073547
10,stress_today,0.00064637
11,excessive_caffeine_today,0.00044440
12,irregular_meals_today,0.00042494
13,noise_today,0.00034052
14,specific_smells_today,0.00032953
15,no_exercise_today,0.00032518
16,emotional_changes_today,0.00027144
17,exercise_as_trigger_today,0.00026094
18,sunlight_today,0.00023829
19,weather_change_today,0.00017412
20,cheese_chocolate_today,0.00015666
21,alcohol_today,0.00013246
22,overeating_today,0.00011535
23,oversleeping_today,0.00011525
24,travel_today,0.00006153
25,excessive_smoking_today,0.00000611
26,inappropriate_lighting_today,0.00000000
