# metric: mean |SHAP|
rank,feature,value
1,dow,0.00618075
2,lack_of_sleep_today,0.00401194
3,exercise_today,0.00383838
4,menstruation_today,0.00357938
5,physical_fatigue_today,0.00339501
6,moderate_exercise_min,0.00338199
7,stress_today,0.00337171
8,vigorous_exercise_min,0.00176598
9,excessive_caffeine_today,0.00113022
10,no_exercise_today,0.00103164
11,specific_smells_today,0.00076102
12,irregular_meals_today,0.00070728
13,exercise_as_trigger_today,0.00034787
14,overeating_today,0.00031457
15,any_sleep_issue_today,0.00030218
16,emotional_changes_today,0.00029824
17,weather_change_today,0.00029788
18,oversleeping_today,0.00027034
19,cheese_chocolate_today,0.00013545
20,noise_today,0.00008443
21,alcohol_today,0.00005680
22,sunlight_today,0.00004542
23,travel_today,0.00002725
24,ovulation_today,0.00000000
25,inappropriate_lighting_today,0.00000000
26,excessive_smoking_today,0.00000000
