# metric: mean |SHAP|
rank,feature,value
1,exercise_today,0.00194024
2,stress_today,0.00176424
3,dow,0.00150413
4,physical_fatigue_today,0.00141271
5,no_exercise_today,0.00128525
6,lack_of_sleep_today,0.00107736
7,menstruation_today,0.00077698
8,moderate_exercise_min,0.00063235
9,exercise_as_trigger_today,0.00041931
10,vigorous_exercise_min,0.00025642
11,irregular_meals_today,0.00021686
12,excessive_caffeine_today,0.00021485
13,specific_smells_today,0.00021329
14,any_sleep_issue_today,0.00016844
15,cheese_chocolate_today,0.00010268
16,weather_change_today,0.00007915
17,ovulation_today,0.00007252
18,sunlight_today,0.00005509
19,alcohol_today,0.00003939
20,noise_today,0.00003160
21,emotional_changes_today,0.00002948
22,oversleeping_today,0.00002374
23,overeating_today,0.00000538
24,travel_today,0.00000000
25,inappropriate_lighting_today,0.00000000
26,excessive_smoking_today,0.00000000
