# metric: mean |SHAP|
rank,feature,value
1,migraine_rate_last7,0.03672551
2,days_since_last_migraine,0.01426220
3,consecutive_sedentary_days,0.01029518
4,dow,0.01015592
5,exercise_days_7day,0.00505148
6,lack_of_sleep_today,0.00486912
7,consecutive_exercise_days,0.00460064
8,menstruation_today,0.00259615
9,migraine_rate_last3,0.00253483
10,consecutive_trigger_days,0.00219038
11,migraine_yesterday,0.00201158
12,sleep_variability_7day,0.00186842
13,exercise_today,0.00142317
14,sleep_debt_3day,0.00095975
15,alcohol_today,0.00071911
16,recent_weekend_sleep_issues,0.00066527
17,any_sleep_issue_today,0.00066494
18,ovulation_today,0.00065479
19,weather_instability_3day,0.00062089
20,stress_today,0.00037474
21,travel_today,0.00024582
22,cheese_chocolate_today,0.00023153
23,consecutive_stress_days,0.00019327
24,excessive_caffeine_today,0.00017240
25,irregular_meals_today,0.00009785
26,oversleeping_today,0.00009695
27,stress_drop_today,0.00008433
28,overeating_today,0.00007243
29,weather_change_today,0.00002572
30,consecutive_weather_changes,0.00000586
31,excessive_smoking_today,0.00000000
