# metric: mean |SHAP|
rank,feature,value
1,consecutive_sedentary_days,0.02331820
2,migraine_rate_last7,0.01868385
3,days_since_last_migraine,0.01494657
4,dow,0.00512851
5,exercise_days_7day,0.00371010
6,lack_of_sleep_today,0.00272463
7,sleep_variability_7day,0.00210566
8,weather_instability_3day,0.00202575
9,migraine_yesterday,0.00153683
10,migraine_rate_last3,0.00140208
11,menstruation_today,0.00128918
12,recent_weekend_sleep_issues,0.00122520
13,weather_change_today,0.00109986
14,excessive_caffeine_today,0.00089407
15,exercise_today,0.00087367
16,sleep_debt_3day,0.00083248
17,consecutive_exercise_days,0.00079353
18,consecutive_stress_days,0.00041769
19,consecutive_trigger_days,0.00019078
20,any_sleep_issue_today,0.00015785
21,alcohol_today,0.00014207
22,stress_today,0.00013623
23,consecutive_weather_changes,0.00006674
24,oversleeping_today,0.00005740
25,overeating_today,0.00005292
26,cheese_chocolate_today,0.00005274
27,travel_today,0.00001522
28,stress_drop_today,0.00001386
29,irregular_meals_today,0.00000598
30,ovulation_today,0.00000000
31,excessive_smoking_today,0.00000000
