# metric: mean |SHAP|
rank,feature,value
1,days_since_last_migraine,0.01428945
2,migraine_rate_last7,0.01269789
3,consecutive_sedentary_days,0.01166985
4,exercise_today,0.00486130
5,dow,0.00464803
6,sleep_variability_7day,0.00280723
7,lack_of_sleep_today,0.00199617
8,menstruation_today,0.00177841
9,migraine_yesterday,0.00166072
10,exercise_days_7day,0.00143172
11,consecutive_exercise_days,0.00134687
12,consecutive_stress_days,0.00085822
13,sleep_debt_3day,0.00062872
14,migraine_rate_last3,0.00059981
15,stress_today,0.00058942
16,consecutive_trigger_days,0.00036821
17,weather_instability_3day,0.00025384
18,recent_weekend_sleep_issues,0.00022543
19,irregular_meals_today,0.00016508
20,consecutive_weather_changes,0.00012231
21,stress_drop_today,0.00008093
22,alcohol_today,0.00007661
23,oversleeping_today,0.00004623
24,overeating_today,0.00003476
25,weather_change_today,0.00003365
26,any_sleep_issue_today,0.00002911
27,excessive_caffeine_today,0.00002774
28,cheese_chocolate_today,0.00002359
29,ovulation_today,0.00002069
30,travel_today,0.00000625
31,excessive_smoking_today,0.00000000
