# metric: mean |SHAP|
rank,feature,value
1,migraine_rate_last7,0.00074026
2,consecutive_sedentary_days,0.00045301
3,days_since_last_migraine,0.00043097
4,dow,0.00011668
5,exercise_today,0.00011429
6,consecutive_exercise_days,0.00010611
7,exercise_days_7day,0.00009253
8,any_sleep_issue_today,0.00007255
9,migraine_rate_last3,0.00004959
10,lack_of_sleep_today,0.00004606
11,sleep_variability_7day,0.00004519
12,migraine_yesterday,0.00004009
13,ovulation_today,0.00003018
14,menstruation_today,0.00002902
15,consecutive_trigger_days,0.00001784
16,alcohol_today,0.00001169
17,sleep_debt_3day,0.00001007
18,consecutive_weather_changes,0.00000840
19,weather_instability_3day,0.00000634
20,travel_today,0.00000625
21,consecutive_stress_days,0.00000479
22,recent_weekend_sleep_issues,0.00000320
23,weather_change_today,0.00000250
24,excessive_caffeine_today,0.00000207
25,stress_today,0.00000195
26,oversleeping_today,0.00000100
27,excessive_smoking_today,0.00000042
28,overeating_today,0.00000000
29,irregular_meals_today,0.00000000
30,cheese_chocolate_today,0.00000000
31,stress_drop_today,0.00000000
