# metric: mean |SHAP|
rank,feature,value
1,headache_free_streak,0.01923588
2,days_since_last_migraine,0.01320630
3,consecutive_sedentary_days,0.01187620
4,migraine_rate_last7,0.00760303
5,sleep_variability_7day,0.00566608
6,weather_instability_3day,0.00466482
7,menstruation_today,0.00417373
8,migraine_rate_last3,0.00329647
9,dow,0.00268643
10,moderate_exercise_min,0.00161396
11,consecutive_stress_days,0.00160914
12,consecutive_exercise_days,0.00156094
13,any_sleep_issue_today,0.00129370
14,vigorous_exercise_min,0.00070120
15,specific_smells_today,0.00059712
16,exercise_days_7day,0.00058550
17,sleep_debt_3day,0.00049518
18,stress_today,0.00047261
19,weather_change_today,0.00039154
20,stress_drop_today,0.00028906
21,exercise_as_trigger,0.00016578
22,irregular_meals_today,0.00016338
23,alcohol_today,0.00014962
24,consecutive_trigger_days,0.00006015
25,cheese_chocolate,0.00005988
26,weather_change_yesterday,0.00004744
27,consecutive_weather_changes,0.00003108
28,noise_today,0.00002754
29,lack_of_sleep_today,0.00002336
30,recent_weekend_sleep_issues,0.00001353
31,days_since_last_record,0.00000399
32,recording_gap_flag,0.00000324
33,physical_fatigue_today,0.00000322
34,exercise_today,0.00000225
35,excessive_caffeine_today,0.00000194
36,ovulation_today,0.00000000
37,overeating_today,0.00000000
38,travel_today,0.00000000
39,no_exercise_today,0.00000000
40,emotional_changes_today,0.00000000
41,weather_headache_interaction,0.00000000
42,cheese_chocolate_today,0.00000000
43,excessive_smoking_today,0.00000000
44,inappropriate_lighting_today,0.00000000
45,oversleeping_today,0.00000000
46,sleep_disruption_today,0.00000000
47,exercise_as_trigger_today,0.00000000
48,sunlight_today,0.00000000
49,inappropriate_lighting,0.00000000
50,excessive_smoking,0.00000000
51,migraine_yesterday,0.00000000
52,sunlight,0.00000000
