# Training-script output capture
# Generated: 2026-05-22T18:19:05
# UUID:      fe6a27cf-a795-435c-8f9a-b6a730c5ac0f
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading datasets...
Running pareto_AUROC_slope search (500 trials, seed=42)...
[I 2026-05-22 18:19:05,582] A new study created in memory with name: no-name-3a576f92-6b2d-4efd-a1d6-a10d7214ea0d
[I 2026-05-22 18:19:07,208] Trial 0 finished with values: [0.5541542021398951, 2.5400231656407706] and parameters: {'n_estimators': 218, 'learning_rate': 0.2536999076681772, 'subsample': 0.892797576724562, 'colsample_bytree': 0.8394633936788146, 'min_child_weight': 2}.
[I 2026-05-22 18:19:08,613] Trial 1 finished with values: [0.5729486060769275, 0.7729154528323927] and parameters: {'n_estimators': 120, 'learning_rate': 0.012184186502221764, 'subsample': 0.9464704583099741, 'colsample_bytree': 0.8404460046972835, 'min_child_weight': 8}.
[I 2026-05-22 18:19:09,935] Trial 2 finished with values: [0.5127771738716076, 2.4663586439686194] and parameters: {'n_estimators': 59, 'learning_rate': 0.2708160864249968, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6849356442713105, 'min_child_weight': 2}.
[I 2026-05-22 18:19:11,321] Trial 3 finished with values: [0.5496269716932779, 0.8493217322817385] and parameters: {'n_estimators': 132, 'learning_rate': 0.028145092716060652, 'subsample': 0.8099025726528951, 'colsample_bytree': 0.7727780074568463, 'min_child_weight': 3}.
[I 2026-05-22 18:19:12,868] Trial 4 finished with values: [0.5331682072193539, 0.9497035018219073] and parameters: {'n_estimators': 325, 'learning_rate': 0.01607123851203988, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 5}.
[I 2026-05-22 18:19:14,465] Trial 5 finished with values: [0.5419091915068426, 0.8352462942884292] and parameters: {'n_estimators': 404, 'learning_rate': 0.019721610970574007, 'subsample': 0.8056937753654446, 'colsample_bytree': 0.836965827544817, 'min_child_weight': 1}.
[I 2026-05-22 18:19:16,110] Trial 6 finished with values: [0.5154228932411954, 1.1977213507584852] and parameters: {'n_estimators': 324, 'learning_rate': 0.0178601378893971, 'subsample': 0.6260206371941118, 'colsample_bytree': 0.9795542149013333, 'min_child_weight': 10}.
[I 2026-05-22 18:19:17,684] Trial 7 finished with values: [0.5107451243158392, 1.2842863268899896] and parameters: {'n_estimators': 414, 'learning_rate': 0.028180680291847244, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.8736932106048627, 'min_child_weight': 5}.
[I 2026-05-22 18:19:18,221] Trial 8 finished with values: [0.5360044391939178, 0.9723117242711753] and parameters: {'n_estimators': 105, 'learning_rate': 0.05388108577817234, 'subsample': 0.6137554084460873, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 3}.
[I 2026-05-22 18:19:19,007] Trial 9 finished with values: [0.5056674373036554, 1.202186399676652] and parameters: {'n_estimators': 348, 'learning_rate': 0.028869220380495747, 'subsample': 0.8080272084711243, 'colsample_bytree': 0.8186841117373118, 'min_child_weight': 2}.
[I 2026-05-22 18:19:19,874] Trial 10 finished with values: [0.5610297263203017, 2.0603903845475324] and parameters: {'n_estimators': 487, 'learning_rate': 0.13962563737015762, 'subsample': 0.9757995766256756, 'colsample_bytree': 0.9579309401710595, 'min_child_weight': 6}.
[I 2026-05-22 18:19:20,738] Trial 11 finished with values: [0.5291117281744263, 1.0245056287840397] and parameters: {'n_estimators': 465, 'learning_rate': 0.01351182947645082, 'subsample': 0.6783931449676581, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 4}.
[I 2026-05-22 18:19:21,390] Trial 12 finished with values: [0.5657022210623792, 1.0401277585939055] and parameters: {'n_estimators': 225, 'learning_rate': 0.02516607127550297, 'subsample': 0.9314950036607718, 'colsample_bytree': 0.7427013306774357, 'min_child_weight': 3}.
[I 2026-05-22 18:19:22,120] Trial 13 finished with values: [0.5577956371527126, 0.8448527088087247] and parameters: {'n_estimators': 294, 'learning_rate': 0.016149614799999188, 'subsample': 0.9208787923016158, 'colsample_bytree': 0.6298202574719083, 'min_child_weight': 10}.
[I 2026-05-22 18:19:22,981] Trial 14 finished with values: [0.514538738680707, 1.232863111952875] and parameters: {'n_estimators': 398, 'learning_rate': 0.019657448966046126, 'subsample': 0.602208846849441, 'colsample_bytree': 0.9261845713819337, 'min_child_weight': 8}.
[I 2026-05-22 18:19:23,806] Trial 15 finished with values: [0.5205364652406097, 1.588378649761527] and parameters: {'n_estimators': 378, 'learning_rate': 0.13780336485751998, 'subsample': 0.6296178606936361, 'colsample_bytree': 0.7433862914177091, 'min_child_weight': 2}.
