# metric: mean |SHAP|
rank,feature,value
1,days_since_last_migraine,0.01766974
2,headache_free_streak,0.01377273
3,migraine_rate_last7,0.01278476
4,consecutive_sedentary_days,0.00605247
5,moderate_exercise_min,0.00189307
6,dow,0.00143581
7,sleep_variability_7day,0.00127352
8,days_since_last_record,0.00077655
9,exercise_days_7day,0.00061082
10,migraine_rate_last3,0.00056227
11,menstruation_today,0.00047768
12,physical_fatigue_today,0.00010264
13,consecutive_exercise_days,0.00009499
14,consecutive_stress_days,0.00009010
15,no_exercise_today,0.00008258
16,sleep_debt_3day,0.00006172
17,vigorous_exercise_min,0.00005978
18,weather_instability_3day,0.00005839
19,migraine_yesterday,0.00004247
20,stress_drop_today,0.00003853
21,weather_change_yesterday,0.00002997
22,recording_gap_flag,0.00002208
23,irregular_meals_today,0.00001633
24,consecutive_trigger_days,0.00001152
25,exercise_today,0.00001126
26,weather_change_today,0.00001086
27,stress_today,0.00000757
28,lack_of_sleep_today,0.00000708
29,recent_weekend_sleep_issues,0.00000627
30,sleep_disruption_today,0.00000518
31,excessive_caffeine_today,0.00000367
32,exercise_as_trigger_today,0.00000300
33,alcohol_today,0.00000294
34,exercise_as_trigger,0.00000232
35,any_sleep_issue_today,0.00000199
36,emotional_changes_today,0.00000190
37,cheese_chocolate_today,0.00000033
38,oversleeping_today,0.00000027
39,overeating_today,0.00000000
40,specific_smells_today,0.00000000
41,ovulation_today,0.00000000
42,travel_today,0.00000000
43,noise_today,0.00000000
44,consecutive_weather_changes,0.00000000
45,sunlight_today,0.00000000
46,weather_headache_interaction,0.00000000
47,excessive_smoking_today,0.00000000
48,inappropriate_lighting_today,0.00000000
49,inappropriate_lighting,0.00000000
50,excessive_smoking,0.00000000
51,cheese_chocolate,0.00000000
52,sunlight,0.00000000
