# Training-script output capture
# Generated: 2026-05-15T17:39:00
# UUID:      7d4f0e88-8dfe-482c-b480-821ffea70552
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/pareto_AUPRC_slope/auprc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading datasets...
Running pareto_AUPRC_slope search (500 trials, seed=42)...
[I 2026-05-15 17:39:00,229] A new study created in memory with name: no-name-99e03145-2ebf-450a-a772-6158b88b1b5d
[I 2026-05-15 17:39:01,855] Trial 0 finished with values: [0.30769325360555116, 0.6459807060505286] and parameters: {'n_estimators': 218, 'learning_rate': 0.2536999076681772, 'subsample': 0.892797576724562, 'colsample_bytree': 0.8394633936788146, 'min_child_weight': 2}.
/home/mklemmingen/PycharmProjects/migraine-forecasting-shd/.venv/lib/python3.13/site-packages/sklearn/linear_model/_sag.py:348: ConvergenceWarning: The max_iter was reached which means the coef_ did not converge
  warnings.warn(
[I 2026-05-15 17:39:03,327] Trial 1 finished with values: [0.3085420155574966, 0.5181979079242184] and parameters: {'n_estimators': 120, 'learning_rate': 0.012184186502221764, 'subsample': 0.9464704583099741, 'colsample_bytree': 0.8404460046972835, 'min_child_weight': 8}.
[I 2026-05-15 17:39:04,671] Trial 2 finished with values: [0.21023984574046536, 0.6521331955365486] and parameters: {'n_estimators': 59, 'learning_rate': 0.2708160864249968, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6849356442713105, 'min_child_weight': 2}.
[I 2026-05-15 17:39:06,033] Trial 3 finished with values: [0.34061545101991547, 0.4582692178059151] and parameters: {'n_estimators': 132, 'learning_rate': 0.028145092716060652, 'subsample': 0.8099025726528951, 'colsample_bytree': 0.7727780074568463, 'min_child_weight': 3}.
[I 2026-05-15 17:39:07,534] Trial 4 finished with values: [0.3385613433332208, 0.5376203331201487] and parameters: {'n_estimators': 325, 'learning_rate': 0.01607123851203988, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 5}.
[I 2026-05-15 17:39:09,122] Trial 5 finished with values: [0.2730673184220716, 0.42644794407185527] and parameters: {'n_estimators': 404, 'learning_rate': 0.019721610970574007, 'subsample': 0.8056937753654446, 'colsample_bytree': 0.836965827544817, 'min_child_weight': 1}.
[I 2026-05-15 17:39:10,524] Trial 6 finished with values: [0.3407062781530487, 0.45211624497879976] and parameters: {'n_estimators': 324, 'learning_rate': 0.0178601378893971, 'subsample': 0.6260206371941118, 'colsample_bytree': 0.9795542149013333, 'min_child_weight': 10}.
[I 2026-05-15 17:39:12,112] Trial 7 finished with values: [0.3243211318396364, 0.4531837829175946] and parameters: {'n_estimators': 414, 'learning_rate': 0.028180680291847244, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.8736932106048627, 'min_child_weight': 5}.
[I 2026-05-15 17:39:12,566] Trial 8 finished with values: [0.34343802479174435, 0.4805416235151022] and parameters: {'n_estimators': 105, 'learning_rate': 0.05388108577817234, 'subsample': 0.6137554084460873, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 3}.
[I 2026-05-15 17:39:13,233] Trial 9 finished with values: [0.24159608913196892, 0.4120972234267729] and parameters: {'n_estimators': 348, 'learning_rate': 0.028869220380495747, 'subsample': 0.8080272084711243, 'colsample_bytree': 0.8186841117373118, 'min_child_weight': 2}.
[I 2026-05-15 17:39:14,015] Trial 10 finished with values: [0.2940356521012951, 0.6406838665946841] and parameters: {'n_estimators': 487, 'learning_rate': 0.13962563737015762, 'subsample': 0.9757995766256756, 'colsample_bytree': 0.9579309401710595, 'min_child_weight': 6}.
[I 2026-05-15 17:39:14,939] Trial 11 finished with values: [0.3614238704690463, 0.510325786393088] and parameters: {'n_estimators': 465, 'learning_rate': 0.01351182947645082, 'subsample': 0.6783931449676581, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 4}.
[I 2026-05-15 17:39:15,607] Trial 12 finished with values: [0.3501511083257165, 0.5112557687574222] and parameters: {'n_estimators': 225, 'learning_rate': 0.02516607127550297, 'subsample': 0.9314950036607718, 'colsample_bytree': 0.7427013306774357, 'min_child_weight': 3}.
[I 2026-05-15 17:39:16,242] Trial 13 finished with values: [0.34257415590117246, 0.5521477310392819] and parameters: {'n_estimators': 294, 'learning_rate': 0.016149614799999188, 'subsample': 0.9208787923016158, 'colsample_bytree': 0.6298202574719083, 'min_child_weight': 10}.
[I 2026-05-15 17:39:17,071] Trial 14 finished with values: [0.35433994758226184, 0.42975339721960826] and parameters: {'n_estimators': 398, 'learning_rate': 0.019657448966046126, 'subsample': 0.602208846849441, 'colsample_bytree': 0.9261845713819337, 'min_child_weight': 8}.
[I 2026-05-15 17:39:17,725] Trial 15 finished with values: [0.29317094322519843, 0.49716451704983095] and parameters: {'n_estimators': 378, 'learning_rate': 0.13780336485751998, 'subsample': 0.6296178606936361, 'colsample_bytree': 0.7433862914177091, 'min_child_weight': 2}.
[I 2026-05-15 17:39:18,568] Trial 16 finished with values: [0.2689734641301164, 0.4674989730210875] and parameters: {'n_estimators': 439, 'learning_rate': 0.08330803890301997, 'subsample': 0.7323592099410596, 'colsample_bytree': 0.6254233401144095, 'min_child_weight': 4}.
[I 2026-05-15 17:39:19,126] Trial 17 finished with values: [0.309332153279218, 0.5308491822616151] and parameters: {'n_estimators': 196, 'learning_rate': 0.1195960383019184, 'subsample': 0.8550229885420852, 'colsample_bytree': 0.9548850970305306, 'min_child_weight': 5}.
[I 2026-05-15 17:39:19,583] Trial 18 finished with values: [0.35962255580591773, 0.5711445069584181] and parameters: {'n_estimators': 103, 'learning_rate': 0.1131225105716033, 'subsample': 0.9043140194467589, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 8}.
[I 2026-05-15 17:39:20,285] Trial 19 finished with values: [0.29572901482793024, 0.5843455628732847] and parameters: {'n_estimators': 272, 'learning_rate': 0.05917520523090666, 'subsample': 0.7710164073434198, 'colsample_bytree': 0.610167650697638, 'min_child_weight': 2}.
[I 2026-05-15 17:39:20,842] Trial 20 finished with values: [0.33631084259377925, 0.5369531811456207] and parameters: {'n_estimators': 64, 'learning_rate': 0.08710745900492396, 'subsample': 0.7257423924305306, 'colsample_bytree': 0.8034282764658811, 'min_child_weight': 10}.
[I 2026-05-15 17:39:21,363] Trial 21 finished with values: [0.2926148388710482, 0.42536582289854474] and parameters: {'n_estimators': 162, 'learning_rate': 0.040381768820718394, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.6915192661966489, 'min_child_weight': 1}.
[I 2026-05-15 17:39:21,886] Trial 22 finished with values: [0.3302475440170717, 0.5245889400184689] and parameters: {'n_estimators': 180, 'learning_rate': 0.017303875834205888, 'subsample': 0.9718790609370292, 'colsample_bytree': 0.9232481518257668, 'min_child_weight': 7}.
[I 2026-05-15 17:39:22,632] Trial 23 finished with values: [0.29845379853023235, 0.6103379228210116] and parameters: {'n_estimators': 443, 'learning_rate': 0.1538583627271404, 'subsample': 0.6746280235544143, 'colsample_bytree': 0.9570235993959911, 'min_child_weight': 6}.
[I 2026-05-15 17:39:23,332] Trial 24 finished with values: [0.29494713260879274, 0.5305747492425168] and parameters: {'n_estimators': 414, 'learning_rate': 0.21068591627429098, 'subsample': 0.7272013899887455, 'colsample_bytree': 0.6440207698110707, 'min_child_weight': 3}.
[I 2026-05-15 17:39:23,899] Trial 25 finished with values: [0.32011911696972334, 0.7961404227457917] and parameters: {'n_estimators': 242, 'learning_rate': 0.16155001304356414, 'subsample': 0.9442922333025374, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 6}.
[I 2026-05-15 17:39:24,454] Trial 26 finished with values: [0.3443442308528633, 0.4062920696191742] and parameters: {'n_estimators': 238, 'learning_rate': 0.0212853192163843, 'subsample': 0.6479461469334731, 'colsample_bytree': 0.7350460685614512, 'min_child_weight': 10}.
[I 2026-05-15 17:39:25,000] Trial 27 finished with values: [0.3477431987224728, 0.5362400417263797] and parameters: {'n_estimators': 195, 'learning_rate': 0.05838706626832953, 'subsample': 0.881207583558071, 'colsample_bytree': 0.7454518409517176, 'min_child_weight': 10}.
[I 2026-05-15 17:39:25,899] Trial 28 finished with values: [0.23358984270368038, 0.6186499454794915] and parameters: {'n_estimators': 484, 'learning_rate': 0.023545774516299134, 'subsample': 0.7988994023569542, 'colsample_bytree': 0.7203513239267079, 'min_child_weight': 3}.
[I 2026-05-15 17:39:26,321] Trial 29 finished with values: [0.3647063327723591, 0.5627477839232816] and parameters: {'n_estimators': 66, 'learning_rate': 0.07950609693143304, 'subsample': 0.8010716092915446, 'colsample_bytree': 0.6205915004999957, 'min_child_weight': 3}.
[I 2026-05-15 17:39:27,067] Trial 30 finished with values: [0.3433619403643153, 0.37784568861590195] and parameters: {'n_estimators': 459, 'learning_rate': 0.022587177280197233, 'subsample': 0.6579579488364892, 'colsample_bytree': 0.7957811041110252, 'min_child_weight': 10}.
[I 2026-05-15 17:39:27,561] Trial 31 finished with values: [0.34868401894826784, 0.5674773953895584] and parameters: {'n_estimators': 159, 'learning_rate': 0.09836162684900028, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 8}.
[I 2026-05-15 17:39:28,203] Trial 32 finished with values: [0.23811669984062922, 0.6070790567855215] and parameters: {'n_estimators': 215, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.8143098736299034, 'min_child_weight': 1}.
[I 2026-05-15 17:39:28,898] Trial 33 finished with values: [0.3456786840162816, 0.4468287120951463] and parameters: {'n_estimators': 426, 'learning_rate': 0.029773579612263783, 'subsample': 0.6746074041599417, 'colsample_bytree': 0.6163100566219055, 'min_child_weight': 6}.
[I 2026-05-15 17:39:29,572] Trial 34 finished with values: [0.33380378747337325, 0.5493867958789782] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.6905983100791752, 'min_child_weight': 7}.
[I 2026-05-15 17:39:30,182] Trial 35 finished with values: [0.30337482747037414, 0.522751368297013] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 2}.
[I 2026-05-15 17:39:30,860] Trial 36 finished with values: [0.3222332381396239, 0.530039806680116] and parameters: {'n_estimators': 203, 'learning_rate': 0.01471005003927122, 'subsample': 0.9698774473114251, 'colsample_bytree': 0.9509357413523924, 'min_child_weight': 3}.
[I 2026-05-15 17:39:31,549] Trial 37 finished with values: [0.26802604208105196, 0.6713436393871788] and parameters: {'n_estimators': 347, 'learning_rate': 0.16111511355977057, 'subsample': 0.822080324639785, 'colsample_bytree': 0.8118602313424026, 'min_child_weight': 3}.
[I 2026-05-15 17:39:32,079] Trial 38 finished with values: [0.3237492012948987, 0.5461487600370762] and parameters: {'n_estimators': 91, 'learning_rate': 0.21149322814164553, 'subsample': 0.9601672228653322, 'colsample_bytree': 0.8532405829093072, 'min_child_weight': 4}.
[I 2026-05-15 17:39:32,658] Trial 39 finished with values: [0.3526022130930496, 0.650775511467173] and parameters: {'n_estimators': 207, 'learning_rate': 0.11812030596598909, 'subsample': 0.9588441039810308, 'colsample_bytree': 0.954834569706047, 'min_child_weight': 8}.
[I 2026-05-15 17:39:33,329] Trial 40 finished with values: [0.34854977008412547, 0.4826416224714302] and parameters: {'n_estimators': 339, 'learning_rate': 0.013313275850595153, 'subsample': 0.6646514856378455, 'colsample_bytree': 0.9594216754108317, 'min_child_weight': 7}.
/home/mklemmingen/PycharmProjects/migraine-forecasting-shd/.venv/lib/python3.13/site-packages/sklearn/linear_model/_sag.py:348: ConvergenceWarning: The max_iter was reached which means the coef_ did not converge
  warnings.warn(
[I 2026-05-15 17:39:33,812] Trial 41 finished with values: [0.3349126892164631, 0.42420035797546046] and parameters: {'n_estimators': 54, 'learning_rate': 0.01412166070620751, 'subsample': 0.8654007076432223, 'colsample_bytree': 0.6020246335384875, 'min_child_weight': 2}.
[I 2026-05-15 17:39:34,556] Trial 42 finished with values: [0.3434985384901509, 0.5159035662966722] and parameters: {'n_estimators': 297, 'learning_rate': 0.10519936117151477, 'subsample': 0.8607845038010402, 'colsample_bytree': 0.689707723784224, 'min_child_weight': 8}.
[I 2026-05-15 17:39:35,173] Trial 43 finished with values: [0.34519900106106594, 0.5419501652786013] and parameters: {'n_estimators': 156, 'learning_rate': 0.030245085073501415, 'subsample': 0.8985965620472096, 'colsample_bytree': 0.8598531596188859, 'min_child_weight': 9}.
[I 2026-05-15 17:39:35,864] Trial 44 finished with values: [0.31702512655090787, 0.5238257369026027] and parameters: {'n_estimators': 346, 'learning_rate': 0.06909724267901692, 'subsample': 0.637469907131237, 'colsample_bytree': 0.7470863212237734, 'min_child_weight': 3}.
[I 2026-05-15 17:39:36,393] Trial 45 finished with values: [0.299247808949754, 0.5953447520211436] and parameters: {'n_estimators': 160, 'learning_rate': 0.2736872535680783, 'subsample': 0.7572390898667042, 'colsample_bytree': 0.9568186220708453, 'min_child_weight': 7}.
[I 2026-05-15 17:39:37,110] Trial 46 finished with values: [0.2479580870122582, 0.5641757062066332] and parameters: {'n_estimators': 408, 'learning_rate': 0.05526573288655769, 'subsample': 0.8307615538505436, 'colsample_bytree': 0.7970070775275455, 'min_child_weight': 2}.
[I 2026-05-15 17:39:37,888] Trial 47 finished with values: [0.28884993049610347, 0.4871509743473153] and parameters: {'n_estimators': 375, 'learning_rate': 0.025985724173338116, 'subsample': 0.6097263865725815, 'colsample_bytree': 0.858188918362867, 'min_child_weight': 2}.
[I 2026-05-15 17:39:38,613] Trial 48 finished with values: [0.267871158793933, 0.8198094731900143] and parameters: {'n_estimators': 474, 'learning_rate': 0.25648866468880704, 'subsample': 0.9659457560881795, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-15 17:39:39,471] Trial 49 finished with values: [0.34681725679577835, 0.573409065333013] and parameters: {'n_estimators': 468, 'learning_rate': 0.042902233912047165, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.9854479908357011, 'min_child_weight': 9}.
