# metric: mean |SHAP|
rank,feature,value
1,days_since_last_migraine,0.02115378
2,headache_free_streak,0.01605496
3,migraine_rate_last7,0.01096255
4,sleep_variability_7day,0.00634499
5,consecutive_sedentary_days,0.00496468
6,moderate_exercise_min,0.00375009
7,consecutive_exercise_days,0.00240821
8,menstruation_today,0.00215049
9,weather_instability_3day,0.00188919
10,dow,0.00187280
11,lack_of_sleep_today,0.00174949
12,exercise_days_7day,0.00092362
13,consecutive_trigger_days,0.00076578
14,consecutive_stress_days,0.00076490
15,weather_change_today,0.00043876
16,days_since_last_record,0.00037562
17,sleep_debt_3day,0.00037349
18,weather_change_yesterday,0.00034379
19,consecutive_weather_changes,0.00033549
20,excessive_smoking,0.00030387
21,alcohol_today,0.00025111
22,stress_drop_today,0.00022777
23,no_exercise_today,0.00018729
24,exercise_as_trigger,0.00017869
25,migraine_rate_last3,0.00016545
26,sunlight,0.00016069
27,specific_smells_today,0.00013224
28,noise_today,0.00007556
29,oversleeping_today,0.00005832
30,physical_fatigue_today,0.00005322
31,migraine_yesterday,0.00005278
32,ovulation_today,0.00004448
33,cheese_chocolate,0.00004064
34,vigorous_exercise_min,0.00000436
35,exercise_today,0.00000359
36,recording_gap_flag,0.00000320
37,overeating_today,0.00000278
38,exercise_as_trigger_today,0.00000223
39,recent_weekend_sleep_issues,0.00000204
40,excessive_caffeine_today,0.00000165
41,irregular_meals_today,0.00000094
42,stress_today,0.00000082
43,any_sleep_issue_today,0.00000069
44,emotional_changes_today,0.00000000
45,travel_today,0.00000000
46,sunlight_today,0.00000000
47,sleep_disruption_today,0.00000000
48,inappropriate_lighting_today,0.00000000
49,weather_headache_interaction,0.00000000
50,cheese_chocolate_today,0.00000000
51,excessive_smoking_today,0.00000000
52,inappropriate_lighting,0.00000000
