# metric: mean |SHAP|
rank,feature,value
1,headache_free_streak,0.01798695
2,days_since_last_migraine,0.01154736
3,consecutive_sedentary_days,0.00877500
4,sleep_variability_7day,0.00385939
5,migraine_rate_last7,0.00338541
6,menstruation_today,0.00310328
7,exercise_days_7day,0.00301614
8,migraine_rate_last3,0.00292249
9,dow,0.00262449
10,weather_instability_3day,0.00255177
11,moderate_exercise_min,0.00112777
12,consecutive_stress_days,0.00112136
13,consecutive_exercise_days,0.00089237
14,exercise_today,0.00067287
15,any_sleep_issue_today,0.00052087
16,sleep_debt_3day,0.00046495
17,recent_weekend_sleep_issues,0.00041064
18,weather_change_yesterday,0.00037628
19,irregular_meals_today,0.00037201
20,consecutive_trigger_days,0.00036383
21,emotional_changes_today,0.00034666
22,stress_drop_today,0.00034309
23,physical_fatigue_today,0.00026040
24,specific_smells_today,0.00025791
25,stress_today,0.00023788
26,lack_of_sleep_today,0.00014419
27,vigorous_exercise_min,0.00011778
28,exercise_as_trigger,0.00009742
29,days_since_last_record,0.00009101
30,weather_change_today,0.00007631
31,overeating_today,0.00005961
32,no_exercise_today,0.00005228
33,noise_today,0.00004852
34,consecutive_weather_changes,0.00002772
35,migraine_yesterday,0.00001850
36,exercise_as_trigger_today,0.00000357
37,recording_gap_flag,0.00000261
38,excessive_caffeine_today,0.00000000
39,travel_today,0.00000000
40,ovulation_today,0.00000000
41,alcohol_today,0.00000000
42,weather_headache_interaction,0.00000000
43,excessive_smoking_today,0.00000000
44,cheese_chocolate_today,0.00000000
45,oversleeping_today,0.00000000
46,sleep_disruption_today,0.00000000
47,sunlight_today,0.00000000
48,inappropriate_lighting_today,0.00000000
49,inappropriate_lighting,0.00000000
50,excessive_smoking,0.00000000
51,cheese_chocolate,0.00000000
52,sunlight,0.00000000
