# metric: mean |SHAP|
rank,feature,value
1,moderate_exercise_min,0.00230797
2,exercise_today,0.00156561
3,physical_fatigue_today,0.00151176
4,dow,0.00145629
5,menstruation_today,0.00136276
6,lack_of_sleep_today,0.00076214
7,vigorous_exercise_min,0.00051799
8,weather_change_today,0.00050856
9,stress_today,0.00049386
10,specific_smells_today,0.00033791
11,any_sleep_issue_today,0.00032681
12,irregular_meals_today,0.00027342
13,exercise_as_trigger_today,0.00017893
14,oversleeping_today,0.00013411
15,noise_today,0.00012178
16,emotional_changes_today,0.00007030
17,alcohol_today,0.00005307
18,excessive_caffeine_today,0.00001079
19,no_exercise_today,0.00000677
20,ovulation_today,0.00000000
21,travel_today,0.00000000
22,overeating_today,0.00000000
23,inappropriate_lighting_today,0.00000000
24,excessive_smoking_today,0.00000000
25,cheese_chocolate_today,0.00000000
26,sunlight_today,0.00000000
