# metric: mean |SHAP|
rank,feature,value
1,moderate_exercise_min,0.00388027
2,stress_today,0.00307089
3,dow,0.00301230
4,exercise_today,0.00266209
5,lack_of_sleep_today,0.00221383
6,menstruation_today,0.00143285
7,vigorous_exercise_min,0.00109402
8,physical_fatigue_today,0.00092752
9,emotional_changes_today,0.00083965
10,specific_smells_today,0.00082951
11,weather_change_today,0.00074094
12,exercise_as_trigger_today,0.00071618
13,excessive_smoking_today,0.00050638
14,irregular_meals_today,0.00040819
15,oversleeping_today,0.00032484
16,excessive_caffeine_today,0.00027940
17,noise_today,0.00025264
18,ovulation_today,0.00024340
19,no_exercise_today,0.00022840
20,sunlight_today,0.00018317
21,alcohol_today,0.00014362
22,cheese_chocolate_today,0.00012770
23,overeating_today,0.00002509
24,any_sleep_issue_today,0.00001825
25,travel_today,0.00000000
26,inappropriate_lighting_today,0.00000000
