# metric: mean |SHAP|
rank,feature,value
1,menstruation_today,0.00288147
2,moderate_exercise_min,0.00238209
3,dow,0.00214087
4,any_sleep_issue_today,0.00182105
5,stress_today,0.00132835
6,exercise_today,0.00104682
7,physical_fatigue_today,0.00097655
8,irregular_meals_today,0.00082801
9,lack_of_sleep_today,0.00070087
10,specific_smells_today,0.00068377
11,vigorous_exercise_min,0.00052816
12,exercise_as_trigger_today,0.00039765
13,emotional_changes_today,0.00039607
14,weather_change_today,0.00032228
15,overeating_today,0.00017088
16,no_exercise_today,0.00015220
17,noise_today,0.00012292
18,excessive_caffeine_today,0.00007575
19,oversleeping_today,0.00004756
20,cheese_chocolate_today,0.00003499
21,alcohol_today,0.00003242
22,travel_today,0.00001929
23,sunlight_today,0.00001255
24,ovulation_today,0.00000000
25,inappropriate_lighting_today,0.00000000
26,excessive_smoking_today,0.00000000
