# metric: mean |SHAP|
rank,feature,value
1,menstruation_today,0.00365626
2,moderate_exercise_min,0.00299987
3,dow,0.00237703
4,stress_today,0.00226755
5,physical_fatigue_today,0.00181084
6,weather_change_today,0.00097520
7,any_sleep_issue_today,0.00087471
8,irregular_meals_today,0.00037769
9,no_exercise_today,0.00036179
10,exercise_today,0.00030057
11,specific_smells_today,0.00023351
12,lack_of_sleep_today,0.00016844
13,alcohol_today,0.00015897
14,overeating_today,0.00012706
15,emotional_changes_today,0.00008675
16,oversleeping_today,0.00007903
17,exercise_as_trigger_today,0.00006264
18,noise_today,0.00003643
19,cheese_chocolate_today,0.00002979
20,ovulation_today,0.00002318
21,excessive_caffeine_today,0.00001809
22,vigorous_exercise_min,0.00001528
23,travel_today,0.00000921
24,excessive_smoking_today,0.00000000
25,inappropriate_lighting_today,0.00000000
26,sunlight_today,0.00000000
