# metric: mean |SHAP|
rank,feature,value
1,days_since_last_migraine,0.03611675
2,migraine_rate_last7,0.01030706
3,sleep_variability_7day,0.00647239
4,consecutive_sedentary_days,0.00630306
5,menstruation_today,0.00263407
6,dow,0.00236684
7,weather_instability_3day,0.00231108
8,consecutive_exercise_days,0.00211508
9,lack_of_sleep_today,0.00207354
10,exercise_days_7day,0.00156224
11,sleep_debt_3day,0.00147292
12,consecutive_trigger_days,0.00107428
13,consecutive_stress_days,0.00103919
14,stress_today,0.00073246
15,weather_change_today,0.00059990
16,recent_weekend_sleep_issues,0.00046791
17,consecutive_weather_changes,0.00043652
18,any_sleep_issue_today,0.00040481
19,exercise_today,0.00038451
20,excessive_smoking_today,0.00033164
21,alcohol_today,0.00024991
22,migraine_rate_last3,0.00015882
23,excessive_caffeine_today,0.00014746
24,migraine_yesterday,0.00012348
25,stress_drop_today,0.00011155
26,ovulation_today,0.00007977
27,overeating_today,0.00005126
28,cheese_chocolate_today,0.00001256
29,irregular_meals_today,0.00001198
30,travel_today,0.00000278
31,oversleeping_today,0.00000000
