# metric: mean |SHAP|
rank,feature,value
1,days_since_last_migraine,0.01797816
2,consecutive_sedentary_days,0.00971486
3,sleep_variability_7day,0.00425137
4,migraine_rate_last7,0.00329662
5,migraine_rate_last3,0.00273540
6,menstruation_today,0.00260288
7,exercise_days_7day,0.00237967
8,weather_instability_3day,0.00131955
9,dow,0.00129551
10,consecutive_stress_days,0.00056426
11,consecutive_trigger_days,0.00055907
12,irregular_meals_today,0.00053188
13,exercise_today,0.00046614
14,consecutive_exercise_days,0.00037025
15,lack_of_sleep_today,0.00032616
16,stress_today,0.00026521
17,stress_drop_today,0.00024679
18,sleep_debt_3day,0.00024152
19,recent_weekend_sleep_issues,0.00022604
20,any_sleep_issue_today,0.00011549
21,alcohol_today,0.00009453
22,weather_change_today,0.00007236
23,overeating_today,0.00006553
24,excessive_caffeine_today,0.00004216
25,cheese_chocolate_today,0.00000547
26,travel_today,0.00000443
27,consecutive_weather_changes,0.00000173
28,migraine_yesterday,0.00000012
29,ovulation_today,0.00000000
30,oversleeping_today,0.00000000
31,excessive_smoking_today,0.00000000
