# metric: mean |SHAP|
rank,feature,value
1,days_since_last_migraine,0.00286693
2,consecutive_sedentary_days,0.00125513
3,sleep_variability_7day,0.00071674
4,dow,0.00039625
5,migraine_rate_last7,0.00038540
6,consecutive_exercise_days,0.00013616
7,menstruation_today,0.00013439
8,stress_today,0.00011762
9,exercise_today,0.00009142
10,consecutive_stress_days,0.00009043
11,exercise_days_7day,0.00008174
12,stress_drop_today,0.00005342
13,sleep_debt_3day,0.00002948
14,consecutive_trigger_days,0.00002446
15,cheese_chocolate_today,0.00001892
16,alcohol_today,0.00001829
17,migraine_rate_last3,0.00001510
18,overeating_today,0.00001447
19,consecutive_weather_changes,0.00001165
20,weather_change_today,0.00000969
21,irregular_meals_today,0.00000848
22,weather_instability_3day,0.00000314
23,lack_of_sleep_today,0.00000171
24,travel_today,0.00000000
25,excessive_caffeine_today,0.00000000
26,ovulation_today,0.00000000
27,recent_weekend_sleep_issues,0.00000000
28,oversleeping_today,0.00000000
29,any_sleep_issue_today,0.00000000
30,excessive_smoking_today,0.00000000
31,migraine_yesterday,0.00000000
