# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T01:31:10
# UUID: 71621d57-f7c0-406c-85fd-7a314bcdd7de
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 331 rows x 52 features
# Positives:   82 (24.8%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.370000	0.714809	0.611598	0.370000
2	1	0.375000	0.535862	0.610836	0.375000
3	2	0.385000	0.547844	0.609747	0.385000
4	3	0.380000	0.533205	0.608951	0.380000
5	4	0.380000	0.593850	0.607196	0.380000
6	5	0.382500	0.576387	0.604658	0.382500
7	6	0.375000	0.579242	0.602366	0.375000
8	7	0.387500	0.601093	0.599379	0.387500
9	8	0.397500	0.532557	0.597617	0.397500
10	9	0.410000	0.525921	0.596575	0.410000
11	10	0.420000	0.577425	0.595146	0.420000
12	11	0.425000	0.641566	0.593142	0.425000
13	12	0.435000	0.576092	0.591275	0.435000
14	13	0.435000	0.536939	0.589916	0.435000
15	14	0.435000	0.558036	0.588690	0.435000
16	15	0.445000	0.532388	0.588096	0.445000
17	16	0.442500	0.523134	0.588044	0.442500
18	17	0.442500	0.530498	0.588358	0.442500
19	18	0.442500	0.536007	0.588900	0.442500
20	19	0.447500	0.542659	0.589653	0.447500
21	20	0.447500	0.563218	0.590008	0.447500
22	21	0.450000	0.539636	0.590298	0.450000
23	22	0.450000	0.549913	0.590729	0.450000
24	23	0.445000	0.522970	0.591493	0.445000
25	24	0.445000	0.559413	0.591811	0.445000
26	25	0.455000	0.546304	0.592138	0.455000
27	26	0.445000	0.518498	0.592969	0.445000
28	27	0.445000	0.561180	0.593471	0.445000
29	28	0.445000	0.517636	0.594138	0.445000
30	29	0.445000	0.550027	0.594703	0.445000
31	30	0.445000	0.527922	0.595184	0.445000
32	31	0.445000	0.560265	0.595769	0.445000
33	32	0.445000	0.554258	0.596134	0.445000
34	33	0.445000	0.554475	0.596289	0.445000
35	34	0.445000	0.554220	0.596491	0.445000
36	35	0.445000	0.546584	0.596643	0.445000
37	36	0.445000	0.525309	0.596863	0.445000
38	37	0.445000	0.535107	0.597045	0.445000
39	38	0.442500	0.544673	0.597226	0.442500
40	39	0.447500	0.543890	0.597450	0.447500
41	40	0.447500	0.532939	0.597439	0.447500
42	41	0.442500	0.577817	0.597489	0.442500
43	42	0.445000	0.523478	0.597588	0.445000
44	43	0.447500	0.533277	0.597666	0.447500
45	44	0.445000	0.558717	0.597745	0.445000
46	45	0.445000	0.532392	0.597689	0.445000
47	46	0.445000	0.545461	0.597659	0.445000
48	47	0.445000	0.525121	0.597692	0.445000
49	48	0.442500	0.527712	0.597639	0.442500
50	49	0.442500	0.571470	0.597806	0.442500
