# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T15:02:49
# UUID: 336ea4c4-568f-45cb-9bfb-3168300f4814
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3941 rows x 52 features
# Positives:   948 (24.1%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.644499	0.512448	0.533545	0.644499
2	1	0.644851	0.517937	0.533552	0.644851
3	2	0.644763	0.526225	0.533501	0.644763
4	3	0.644781	0.515463	0.533474	0.644781
5	4	0.644042	0.519942	0.533487	0.644042
6	5	0.643689	0.513961	0.533480	0.643689
7	6	0.643672	0.526341	0.533371	0.643672
8	7	0.643619	0.516492	0.533293	0.643619
9	8	0.643373	0.518528	0.533179	0.643373
10	9	0.643021	0.513681	0.533157	0.643021
11	10	0.642933	0.512340	0.533255	0.642933
12	11	0.642985	0.516534	0.533455	0.642985
13	12	0.642633	0.503267	0.533861	0.642633
14	13	0.642316	0.509134	0.534330	0.642316
15	14	0.641718	0.510156	0.534867	0.641718
16	15	0.642105	0.505098	0.535448	0.642105
17	16	0.642088	0.530727	0.535757	0.642088
18	17	0.642651	0.532948	0.535772	0.642651
19	18	0.642440	0.524983	0.535624	0.642440
20	19	0.642422	0.511501	0.535561	0.642422
21	20	0.642493	0.507355	0.535505	0.642493
22	21	0.642316	0.517162	0.535517	0.642316
23	22	0.642140	0.503945	0.535617	0.642140
24	23	0.642017	0.516451	0.535655	0.642017
25	24	0.642000	0.513041	0.535667	0.642000
26	25	0.642088	0.514712	0.535624	0.642088
27	26	0.641859	0.508040	0.535634	0.641859
28	27	0.641964	0.518150	0.535582	0.641964
29	28	0.641841	0.519899	0.535558	0.641841
30	29	0.641542	0.507716	0.535572	0.641542
31	30	0.641296	0.499516	0.535649	0.641296
32	31	0.641260	0.508324	0.535767	0.641260
33	32	0.641876	0.513429	0.535796	0.641876
34	33	0.641876	0.513301	0.535891	0.641876
35	34	0.642123	0.512271	0.535924	0.642123
36	35	0.642052	0.496398	0.536024	0.642052
37	36	0.642035	0.517321	0.536070	0.642035
38	37	0.642633	0.502613	0.536122	0.642633
39	38	0.642809	0.503982	0.536188	0.642809
40	39	0.642862	0.520929	0.536261	0.642862
41	40	0.642985	0.512232	0.536279	0.642985
42	41	0.642827	0.522097	0.536272	0.642827
43	42	0.642880	0.504936	0.536313	0.642880
44	43	0.642897	0.509171	0.536346	0.642897
45	44	0.642809	0.504079	0.536367	0.642809
46	45	0.642880	0.517773	0.536343	0.642880
47	46	0.642950	0.517946	0.536348	0.642950
48	47	0.642915	0.526356	0.536360	0.642915
49	48	0.642897	0.508928	0.536356	0.642897
50	49	0.642968	0.538921	0.536357	0.642968
