# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T21:03:48
# UUID: 3744503e-8bdd-4ade-ae70-50672b1bea7f
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 331 rows x 52 features
# Positives:   82 (24.8%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.355000	0.688945	0.609446	0.355000
2	1	0.360000	0.554787	0.608660	0.360000
3	2	0.365000	0.556120	0.607241	0.365000
4	3	0.370000	0.541469	0.605776	0.370000
5	4	0.370000	0.589114	0.603318	0.370000
6	5	0.392500	0.575012	0.600098	0.392500
7	6	0.387500	0.580771	0.597112	0.387500
8	7	0.390000	0.595538	0.594034	0.390000
9	8	0.390000	0.534052	0.591907	0.390000
10	9	0.385000	0.528787	0.590552	0.385000
11	10	0.390000	0.572481	0.589095	0.390000
12	11	0.395000	0.634259	0.587002	0.395000
13	12	0.395000	0.573509	0.584956	0.395000
14	13	0.395000	0.536427	0.583498	0.395000
15	14	0.387500	0.555306	0.582126	0.387500
16	15	0.385000	0.536955	0.581436	0.385000
17	16	0.385000	0.532087	0.581361	0.385000
18	17	0.385000	0.533404	0.581732	0.385000
19	18	0.392500	0.539193	0.582316	0.392500
20	19	0.392500	0.550044	0.582798	0.392500
21	20	0.395000	0.560921	0.583175	0.395000
22	21	0.395000	0.541245	0.583578	0.395000
23	22	0.400000	0.548710	0.584103	0.400000
24	23	0.395000	0.532221	0.584783	0.395000
25	24	0.395000	0.557751	0.585349	0.395000
26	25	0.395000	0.550002	0.585670	0.395000
27	26	0.395000	0.526434	0.586334	0.395000
28	27	0.395000	0.560994	0.586782	0.395000
29	28	0.395000	0.527432	0.587440	0.395000
30	29	0.395000	0.553620	0.588006	0.395000
31	30	0.395000	0.533529	0.588593	0.395000
32	31	0.395000	0.564083	0.588961	0.395000
33	32	0.395000	0.553014	0.589250	0.395000
34	33	0.395000	0.554391	0.589558	0.395000
35	34	0.397500	0.555005	0.589730	0.397500
36	35	0.397500	0.551030	0.589897	0.397500
37	36	0.395000	0.526071	0.590031	0.395000
38	37	0.395000	0.544401	0.590213	0.395000
39	38	0.397500	0.546390	0.590322	0.397500
40	39	0.397500	0.550398	0.590423	0.397500
41	40	0.395000	0.537526	0.590520	0.395000
42	41	0.395000	0.581895	0.590528	0.395000
43	42	0.397500	0.526385	0.590606	0.397500
44	43	0.397500	0.532604	0.590650	0.397500
45	44	0.397500	0.553915	0.590689	0.397500
46	45	0.400000	0.537543	0.590702	0.400000
47	46	0.395000	0.549798	0.590737	0.395000
48	47	0.400000	0.533512	0.590743	0.400000
49	48	0.397500	0.527960	0.590737	0.397500
50	49	0.400000	0.565849	0.590711	0.400000
