# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T23:16:25
# UUID: 01f26a4b-2172-4180-b371-6f12b4c48532
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 2272 rows x 52 features
# Positives:   606 (26.7%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.706350	0.539728	0.520775	0.706350
2	1	0.705807	0.541882	0.520914	0.705807
3	2	0.705708	0.532595	0.521084	0.705708
4	3	0.704819	0.563996	0.521390	0.704819
5	4	0.704325	0.547361	0.521847	0.704325
6	5	0.703239	0.542073	0.522249	0.703239
7	6	0.702597	0.560454	0.522526	0.702597
8	7	0.702400	0.524913	0.522716	0.702400
9	8	0.702103	0.545047	0.522936	0.702103
10	9	0.702153	0.556347	0.523095	0.702153
11	10	0.702103	0.540912	0.523345	0.702103
12	11	0.702005	0.562482	0.523528	0.702005
13	12	0.701807	0.542691	0.523726	0.701807
14	13	0.702005	0.552113	0.523767	0.702005
15	14	0.702153	0.533196	0.523737	0.702153
16	15	0.702745	0.541225	0.523541	0.702745
17	16	0.702894	0.547427	0.523317	0.702894
18	17	0.703634	0.538141	0.522949	0.703634
19	18	0.704918	0.519247	0.522520	0.704918
20	19	0.705856	0.533031	0.522074	0.705856
21	20	0.706449	0.530630	0.521630	0.706449
22	21	0.707683	0.539349	0.521278	0.707683
23	22	0.707239	0.541469	0.520935	0.707239
24	23	0.707486	0.532263	0.520653	0.707486
25	24	0.707189	0.526373	0.520320	0.707189
26	25	0.707930	0.527156	0.519995	0.707930
27	26	0.708177	0.546228	0.519766	0.708177
28	27	0.708967	0.521318	0.519538	0.708967
29	28	0.709263	0.536788	0.519371	0.709263
30	29	0.709461	0.542368	0.519223	0.709461
31	30	0.709658	0.537036	0.519141	0.709658
32	31	0.709658	0.549451	0.519046	0.709658
33	32	0.709313	0.517065	0.518929	0.709313
34	33	0.709016	0.555560	0.518887	0.709016
35	34	0.708819	0.540086	0.518896	0.708819
36	35	0.708967	0.537687	0.518867	0.708967
37	36	0.709165	0.530878	0.518869	0.709165
38	37	0.709016	0.548249	0.518924	0.709016
39	38	0.708967	0.515829	0.518965	0.708967
40	39	0.709016	0.533909	0.518985	0.709016
41	40	0.709263	0.529122	0.518973	0.709263
42	41	0.709066	0.536339	0.519014	0.709066
43	42	0.709165	0.538053	0.519004	0.709165
44	43	0.709115	0.550813	0.519010	0.709115
45	44	0.709165	0.518960	0.519035	0.709165
46	45	0.709313	0.522650	0.519062	0.709313
47	46	0.709263	0.534816	0.519065	0.709263
48	47	0.709263	0.518460	0.519056	0.709263
49	48	0.709313	0.559171	0.519024	0.709313
50	49	0.709461	0.539972	0.519056	0.709461
