# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-22T15:12:48
# UUID: fe256f0f-1d04-4034-bcf8-cc358fddfeb8
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3229 rows x 52 features
# Positives:   759 (23.5%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.702637	0.511658	0.496527	0.702637
2	1	0.702396	0.491709	0.496539	0.702396
3	2	0.702075	0.493870	0.496645	0.702075
4	3	0.701728	0.494498	0.496814	0.701728
5	4	0.702209	0.503459	0.497000	0.702209
6	5	0.700952	0.502751	0.497494	0.700952
7	6	0.700417	0.476216	0.498082	0.700417
8	7	0.699909	0.504182	0.498593	0.699909
9	8	0.699321	0.501314	0.499034	0.699321
10	9	0.699347	0.516374	0.499234	0.699347
11	10	0.699428	0.529133	0.499107	0.699428
12	11	0.699454	0.506243	0.498919	0.699454
13	12	0.699321	0.494939	0.498667	0.699321
14	13	0.699428	0.504930	0.498490	0.699428
15	14	0.698813	0.496736	0.498234	0.698813
16	15	0.699000	0.502845	0.497973	0.699000
17	16	0.698625	0.505388	0.497731	0.698625
18	17	0.699000	0.499250	0.497418	0.699000
19	18	0.698973	0.492369	0.497183	0.698973
20	19	0.699107	0.494816	0.497007	0.699107
21	20	0.698679	0.515702	0.496866	0.698679
22	21	0.699294	0.505159	0.496782	0.699294
23	22	0.699294	0.504588	0.496628	0.699294
24	23	0.699615	0.511073	0.496544	0.699615
25	24	0.699722	0.509706	0.496405	0.699722
26	25	0.699775	0.478002	0.496389	0.699775
27	26	0.699347	0.498417	0.496414	0.699347
28	27	0.699428	0.507587	0.496418	0.699428
29	28	0.699000	0.500463	0.496448	0.699000
30	29	0.699588	0.489849	0.496532	0.699588
31	30	0.699374	0.502503	0.496633	0.699374
32	31	0.699027	0.491618	0.496777	0.699027
33	32	0.699454	0.511604	0.496822	0.699454
34	33	0.699374	0.493830	0.496910	0.699374
35	34	0.699722	0.500005	0.496932	0.699722
36	35	0.699909	0.487981	0.496984	0.699909
37	36	0.700123	0.522260	0.496963	0.700123
38	37	0.700016	0.499552	0.496983	0.700016
39	38	0.700123	0.501085	0.496998	0.700123
40	39	0.700043	0.520892	0.497012	0.700043
41	40	0.700390	0.498522	0.496972	0.700390
42	41	0.700364	0.501516	0.496996	0.700364
43	42	0.700337	0.502750	0.497010	0.700337
44	43	0.700310	0.506794	0.496993	0.700310
45	44	0.700310	0.516106	0.497016	0.700310
46	45	0.700123	0.495527	0.496996	0.700123
47	46	0.700337	0.504748	0.496999	0.700337
48	47	0.700096	0.520141	0.497005	0.700096
49	48	0.700257	0.508702	0.496986	0.700257
50	49	0.700417	0.500000	0.497003	0.700417
