# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T15:15:07
# UUID: 800ec5c6-388a-46d3-a25d-3aa1168f4fc0
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3160 rows x 52 features
# Positives:   742 (23.5%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.652083	0.510008	0.510312	0.652083
2	1	0.651469	0.502229	0.510389	0.651469
3	2	0.649598	0.488726	0.510755	0.649598
4	3	0.648174	0.520405	0.511184	0.648174
5	4	0.646778	0.518608	0.511382	0.646778
6	5	0.646415	0.511642	0.511516	0.646415
7	6	0.646052	0.510491	0.511628	0.646052
8	7	0.645438	0.500245	0.511850	0.645438
9	8	0.645187	0.521633	0.511828	0.645187
10	9	0.645996	0.526408	0.511779	0.645996
11	10	0.646359	0.503054	0.511688	0.646359
12	11	0.646275	0.494777	0.511661	0.646275
13	12	0.646806	0.522822	0.511541	0.646806
14	13	0.647085	0.505419	0.511533	0.647085
15	14	0.647532	0.529591	0.511404	0.647532
16	15	0.647364	0.488998	0.511306	0.647364
17	16	0.648425	0.505648	0.511251	0.648425
18	17	0.648537	0.497254	0.511315	0.648537
19	18	0.648369	0.520958	0.511414	0.648369
20	19	0.648509	0.520041	0.511431	0.648509
21	20	0.647839	0.497308	0.511449	0.647839
22	21	0.648202	0.488853	0.511495	0.648202
23	22	0.648649	0.496401	0.511549	0.648649
24	23	0.648565	0.499815	0.511698	0.648565
25	24	0.649123	0.505713	0.511768	0.649123
26	25	0.649095	0.518732	0.511817	0.649095
27	26	0.649067	0.495171	0.511927	0.649067
28	27	0.649291	0.494645	0.512000	0.649291
29	28	0.649375	0.508181	0.512085	0.649375
30	29	0.649514	0.489115	0.512175	0.649514
31	30	0.649710	0.508130	0.512240	0.649710
32	31	0.649458	0.523832	0.512257	0.649458
33	32	0.649765	0.506185	0.512210	0.649765
34	33	0.649486	0.523991	0.512221	0.649486
35	34	0.649570	0.517194	0.512163	0.649570
36	35	0.649570	0.496598	0.512179	0.649570
37	36	0.649403	0.508878	0.512143	0.649403
38	37	0.649235	0.515844	0.512116	0.649235
39	38	0.649403	0.504086	0.512127	0.649403
40	39	0.649849	0.514130	0.512064	0.649849
41	40	0.649765	0.499103	0.512080	0.649765
42	41	0.649821	0.511151	0.512043	0.649821
43	42	0.649905	0.510769	0.512024	0.649905
44	43	0.649989	0.498070	0.512024	0.649989
45	44	0.649793	0.507997	0.512007	0.649793
46	45	0.649877	0.502952	0.512030	0.649877
47	46	0.649849	0.514827	0.512016	0.649849
48	47	0.649961	0.495224	0.511998	0.649961
49	48	0.649849	0.507189	0.512019	0.649849
50	49	0.649849	0.523809	0.512003	0.649849
