# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-10T22:59:13
# UUID: 9d93acca-0534-423d-97a1-115954a52404
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3161 rows x 52 features
# Positives:   742 (23.5%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.656969	0.529497	0.504184	0.656969
2	1	0.657416	0.517031	0.504142	0.657416
3	2	0.657918	0.510217	0.504124	0.657918
4	3	0.658030	0.509817	0.504171	0.658030
5	4	0.659370	0.523383	0.504052	0.659370
6	5	0.658728	0.535228	0.504233	0.658728
7	6	0.658505	0.521116	0.504487	0.658505
8	7	0.657862	0.513252	0.504675	0.657862
9	8	0.656941	0.525215	0.504918	0.656941
10	9	0.655992	0.532382	0.505175	0.655992
11	10	0.654819	0.523539	0.505446	0.654819
12	11	0.654093	0.522382	0.505629	0.654093
13	12	0.653926	0.538019	0.505744	0.653926
14	13	0.653283	0.507806	0.505940	0.653283
15	14	0.653283	0.519211	0.506059	0.653283
16	15	0.652697	0.506601	0.506220	0.652697
17	16	0.652920	0.518956	0.506295	0.652920
18	17	0.653116	0.516165	0.506348	0.653116
19	18	0.653926	0.513431	0.506350	0.653926
20	19	0.654317	0.510840	0.506226	0.654317
21	20	0.655098	0.522380	0.506151	0.655098
22	21	0.655294	0.514662	0.506187	0.655294
23	22	0.655433	0.509502	0.506125	0.655433
24	23	0.656103	0.518259	0.506139	0.656103
25	24	0.656131	0.505564	0.506168	0.656131
26	25	0.656411	0.519436	0.506191	0.656411
27	26	0.656829	0.506961	0.506123	0.656829
28	27	0.657388	0.498036	0.506234	0.657388
29	28	0.657779	0.515182	0.506243	0.657779
30	29	0.658086	0.496243	0.506288	0.658086
31	30	0.658142	0.491044	0.506358	0.658142
32	31	0.658365	0.508441	0.506438	0.658365
33	32	0.658728	0.513409	0.506395	0.658728
34	33	0.658728	0.509660	0.506367	0.658728
35	34	0.658672	0.532147	0.506378	0.658672
36	35	0.658449	0.526230	0.506397	0.658449
37	36	0.658812	0.527385	0.506320	0.658812
38	37	0.658532	0.512905	0.506295	0.658532
39	38	0.658505	0.515827	0.506274	0.658505
40	39	0.658728	0.516180	0.506229	0.658728
41	40	0.658616	0.523443	0.506213	0.658616
42	41	0.658812	0.533091	0.506210	0.658812
43	42	0.658756	0.507047	0.506155	0.658756
44	43	0.658951	0.525326	0.506186	0.658951
45	44	0.659091	0.509147	0.506123	0.659091
46	45	0.659119	0.514169	0.506085	0.659119
47	46	0.658868	0.507604	0.506134	0.658868
48	47	0.659203	0.505446	0.506075	0.659203
49	48	0.658923	0.511173	0.506129	0.658923
50	49	0.658812	0.508170	0.506131	0.658812
