# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T15:42:21
# UUID: 57712b9a-9ba7-4db0-aa58-d8bf80a0858c
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3161 rows x 52 features
# Positives:   742 (23.5%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.657974	0.530746	0.503315	0.657974
2	1	0.658170	0.516695	0.503271	0.658170
3	2	0.658505	0.509412	0.503189	0.658505
4	3	0.658477	0.509849	0.503286	0.658477
5	4	0.658812	0.523928	0.503316	0.658812
6	5	0.656662	0.534149	0.503727	0.656662
7	6	0.655461	0.520677	0.504175	0.655461
8	7	0.654819	0.512642	0.504419	0.654819
9	8	0.654652	0.527547	0.504686	0.654652
10	9	0.654121	0.531777	0.504878	0.654121
11	10	0.653256	0.524679	0.505055	0.653256
12	11	0.652753	0.522585	0.505164	0.652753
13	12	0.652697	0.538800	0.505314	0.652697
14	13	0.653088	0.508041	0.505378	0.653088
15	14	0.653228	0.518587	0.505492	0.653228
16	15	0.652948	0.507802	0.505590	0.652948
17	16	0.652920	0.518799	0.505625	0.652920
18	17	0.653339	0.515994	0.505602	0.653339
19	18	0.654037	0.513291	0.505539	0.654037
20	19	0.654289	0.511992	0.505457	0.654289
21	20	0.654596	0.522154	0.505405	0.654596
22	21	0.654372	0.514265	0.505399	0.654372
23	22	0.654596	0.509550	0.505367	0.654596
24	23	0.654652	0.518133	0.505431	0.654652
25	24	0.655015	0.505900	0.505411	0.655015
26	25	0.655070	0.517921	0.505421	0.655070
27	26	0.655210	0.507575	0.505380	0.655210
28	27	0.655266	0.497415	0.505377	0.655266
29	28	0.655350	0.516879	0.505358	0.655350
30	29	0.655545	0.497646	0.505334	0.655545
31	30	0.655657	0.492372	0.505331	0.655657
32	31	0.656075	0.508413	0.505314	0.656075
33	32	0.656550	0.512976	0.505260	0.656550
34	33	0.656438	0.509882	0.505236	0.656438
35	34	0.657220	0.531876	0.505159	0.657220
36	35	0.657332	0.524818	0.505144	0.657332
37	36	0.657499	0.526264	0.505069	0.657499
38	37	0.657834	0.513769	0.505006	0.657834
39	38	0.657918	0.513708	0.504975	0.657918
40	39	0.657946	0.515701	0.504949	0.657946
41	40	0.657890	0.522807	0.504949	0.657890
42	41	0.658002	0.533148	0.504910	0.658002
43	42	0.658114	0.506888	0.504878	0.658114
44	43	0.658170	0.525571	0.504868	0.658170
45	44	0.658225	0.508831	0.504849	0.658225
46	45	0.658114	0.513531	0.504835	0.658114
47	46	0.658170	0.508364	0.504836	0.658170
48	47	0.658253	0.506686	0.504835	0.658253
49	48	0.658170	0.511942	0.504839	0.658170
50	49	0.658170	0.508778	0.504825	0.658170
