# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T16:00:14
# UUID: 494ee31f-316d-4ce9-bbdc-caca8a95f7cb
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 4282 rows x 52 features
# Positives:   1028 (24.0%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.699283	0.521994	0.497973	0.699283
2	1	0.699119	0.515589	0.497951	0.699119
3	2	0.698984	0.511560	0.497954	0.698984
4	3	0.698925	0.515990	0.498015	0.698925
5	4	0.697954	0.519806	0.498349	0.697954
6	5	0.698043	0.512080	0.498808	0.698043
7	6	0.697760	0.518220	0.498844	0.697760
8	7	0.697072	0.516618	0.498952	0.697072
9	8	0.696908	0.506727	0.499033	0.696908
10	9	0.696774	0.508783	0.499103	0.696774
11	10	0.696505	0.509131	0.499137	0.696505
12	11	0.696505	0.514375	0.499138	0.696505
13	12	0.697595	0.519565	0.499071	0.697595
14	13	0.697774	0.519859	0.498936	0.697774
15	14	0.697924	0.523660	0.498697	0.697924
16	15	0.698402	0.535639	0.498521	0.698402
17	16	0.699044	0.514071	0.498363	0.699044
18	17	0.699178	0.517811	0.498244	0.699178
19	18	0.699447	0.508646	0.498140	0.699447
20	19	0.699537	0.518662	0.498005	0.699537
21	20	0.699910	0.527364	0.497899	0.699910
22	21	0.700239	0.549284	0.497898	0.700239
23	22	0.700463	0.518503	0.497919	0.700463
24	23	0.700568	0.507127	0.497908	0.700568
25	24	0.700538	0.514455	0.497882	0.700538
26	25	0.700911	0.519442	0.497881	0.700911
27	26	0.701060	0.511688	0.497777	0.701060
28	27	0.701344	0.509439	0.497718	0.701344
29	28	0.701299	0.507702	0.497628	0.701299
30	29	0.701075	0.523922	0.497586	0.701075
31	30	0.701150	0.518244	0.497517	0.701150
32	31	0.700762	0.520962	0.497520	0.700762
33	32	0.700792	0.513783	0.497502	0.700792
34	33	0.700553	0.519446	0.497526	0.700553
35	34	0.700762	0.520433	0.497527	0.700762
36	35	0.700508	0.512165	0.497534	0.700508
37	36	0.700508	0.523734	0.497554	0.700508
38	37	0.700344	0.529407	0.497573	0.700344
39	38	0.700239	0.519463	0.497623	0.700239
40	39	0.700254	0.517413	0.497638	0.700254
41	40	0.700478	0.523078	0.497675	0.700478
42	41	0.700418	0.518658	0.497679	0.700418
43	42	0.700612	0.523118	0.497674	0.700612
44	43	0.700597	0.519273	0.497678	0.700597
45	44	0.700538	0.520023	0.497697	0.700538
46	45	0.700597	0.514328	0.497680	0.700597
47	46	0.700478	0.521337	0.497701	0.700478
48	47	0.700553	0.517654	0.497697	0.700553
49	48	0.700583	0.514561	0.497681	0.700583
50	49	0.700583	0.515343	0.497659	0.700583
