# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-22T15:38:51
# UUID: 83748769-6c2d-4da5-b7ac-13d4aface5c3
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3618 rows x 52 features
# Positives:   846 (23.4%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.699845	0.510331	0.496370	0.699845
2	1	0.700447	0.505960	0.496343	0.700447
3	2	0.700189	0.523220	0.496348	0.700189
4	3	0.699652	0.494371	0.496520	0.699652
5	4	0.698706	0.507675	0.496775	0.698706
6	5	0.698062	0.513054	0.496946	0.698062
7	6	0.697417	0.501759	0.497136	0.697417
8	7	0.697374	0.517158	0.497322	0.697374
9	8	0.697202	0.521274	0.497433	0.697202
10	9	0.696708	0.500848	0.497548	0.696708
11	10	0.695934	0.499039	0.497815	0.695934
12	11	0.695376	0.504934	0.498133	0.695376
13	12	0.694881	0.499599	0.498562	0.694881
14	13	0.694215	0.508980	0.498874	0.694215
15	14	0.693463	0.522754	0.499023	0.693463
16	15	0.693528	0.500205	0.499138	0.693528
17	16	0.693098	0.487571	0.499275	0.693098
18	17	0.692861	0.503305	0.499370	0.692861
19	18	0.692818	0.510085	0.499447	0.692818
20	19	0.692496	0.507879	0.499514	0.692496
21	20	0.692668	0.510944	0.499587	0.692668
22	21	0.692668	0.511934	0.499592	0.692668
23	22	0.692797	0.498599	0.499693	0.692797
24	23	0.692711	0.516783	0.499717	0.692711
25	24	0.692904	0.494126	0.499729	0.692904
26	25	0.692840	0.508524	0.499684	0.692840
27	26	0.692861	0.501604	0.499724	0.692861
28	27	0.693012	0.495236	0.499663	0.693012
29	28	0.693141	0.510331	0.499587	0.693141
30	29	0.693205	0.505079	0.499515	0.693205
31	30	0.693270	0.492409	0.499470	0.693270
32	31	0.693420	0.507998	0.499376	0.693420
33	32	0.693635	0.498547	0.499354	0.693635
34	33	0.693463	0.498491	0.499334	0.693463
35	34	0.693571	0.499820	0.499316	0.693571
36	35	0.693399	0.505312	0.499299	0.693399
37	36	0.693614	0.490750	0.499285	0.693614
38	37	0.693463	0.492127	0.499231	0.693463
39	38	0.693485	0.483663	0.499241	0.693485
40	39	0.693162	0.512902	0.499238	0.693162
41	40	0.693334	0.499137	0.499200	0.693334
42	41	0.693205	0.522397	0.499222	0.693205
43	42	0.693334	0.516829	0.499245	0.693334
44	43	0.693291	0.487668	0.499227	0.693291
45	44	0.693334	0.503274	0.499225	0.693334
46	45	0.693377	0.504565	0.499208	0.693377
47	46	0.693377	0.505849	0.499196	0.693377
48	47	0.693420	0.509319	0.499182	0.693420
49	48	0.693356	0.506236	0.499212	0.693356
50	49	0.693356	0.497049	0.499207	0.693356
