# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-10T23:07:49
# UUID: a1e23e9f-42f7-4cde-b9e5-57332361ed47
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3612 rows x 52 features
# Positives:   848 (23.5%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.697506	0.535372	0.494107	0.697506
2	1	0.697421	0.524893	0.494101	0.697421
3	2	0.697251	0.520939	0.494182	0.697251
4	3	0.697080	0.524034	0.494295	0.697080
5	4	0.696462	0.522799	0.494602	0.696462
6	5	0.696462	0.532919	0.494803	0.696462
7	6	0.696462	0.501128	0.494942	0.696462
8	7	0.696100	0.517707	0.495073	0.696100
9	8	0.696142	0.517717	0.495187	0.696142
10	9	0.695652	0.528578	0.495385	0.695652
11	10	0.695311	0.516743	0.495563	0.695311
12	11	0.695908	0.523141	0.495661	0.695908
13	12	0.696590	0.508061	0.495754	0.696590
14	13	0.696419	0.507590	0.495788	0.696419
15	14	0.697016	0.508067	0.495695	0.697016
16	15	0.697847	0.525209	0.495743	0.697847
17	16	0.697336	0.501886	0.495743	0.697336
18	17	0.697634	0.506562	0.495586	0.697634
19	18	0.697954	0.519570	0.495395	0.697954
20	19	0.697229	0.512828	0.495266	0.697229
21	20	0.697059	0.514596	0.495164	0.697059
22	21	0.697720	0.519743	0.494954	0.697720
23	22	0.697421	0.502483	0.494807	0.697421
24	23	0.697165	0.509483	0.494672	0.697165
25	24	0.697528	0.523212	0.494521	0.697528
26	25	0.697506	0.512837	0.494409	0.697506
27	26	0.697506	0.518487	0.494264	0.697506
28	27	0.698188	0.512797	0.494133	0.698188
29	28	0.698359	0.505639	0.494021	0.698359
30	29	0.698657	0.513050	0.493868	0.698657
31	30	0.698870	0.508552	0.493793	0.698870
32	31	0.698828	0.520173	0.493666	0.698828
33	32	0.699084	0.504789	0.493583	0.699084
34	33	0.699488	0.511408	0.493554	0.699488
35	34	0.699318	0.520645	0.493483	0.699318
36	35	0.699318	0.500905	0.493427	0.699318
37	36	0.699510	0.510708	0.493349	0.699510
38	37	0.699680	0.524297	0.493291	0.699680
39	38	0.699638	0.505240	0.493253	0.699638
40	39	0.699488	0.518276	0.493191	0.699488
41	40	0.699275	0.513061	0.493221	0.699275
42	41	0.699595	0.499851	0.493189	0.699595
43	42	0.699766	0.503934	0.493167	0.699766
44	43	0.699659	0.508708	0.493179	0.699659
45	44	0.699659	0.506745	0.493169	0.699659
46	45	0.699936	0.502634	0.493188	0.699936
47	46	0.699702	0.515667	0.493152	0.699702
48	47	0.699829	0.505863	0.493122	0.699829
49	48	0.699574	0.515440	0.493160	0.699574
50	49	0.699766	0.501952	0.493184	0.699766
