# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T16:14:32
# UUID: adb99d9d-73d2-477b-9a9e-e9d1642abc35
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3612 rows x 52 features
# Positives:   848 (23.5%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.698402	0.535736	0.493619	0.698402
2	1	0.697975	0.526158	0.493643	0.697975
3	2	0.697698	0.520445	0.493700	0.697698
4	3	0.697016	0.522550	0.493932	0.697016
5	4	0.695737	0.522795	0.494205	0.695737
6	5	0.695631	0.533510	0.494434	0.695631
7	6	0.695801	0.499939	0.494530	0.695801
8	7	0.695375	0.517995	0.494696	0.695375
9	8	0.695865	0.518279	0.494782	0.695865
10	9	0.696142	0.527408	0.494947	0.696142
11	10	0.697038	0.517539	0.495015	0.697038
12	11	0.697421	0.523443	0.495041	0.697421
13	12	0.697506	0.507889	0.495049	0.697506
14	13	0.697656	0.507150	0.494973	0.697656
15	14	0.698444	0.508408	0.494887	0.698444
16	15	0.698785	0.525528	0.494804	0.698785
17	16	0.699574	0.500500	0.494668	0.699574
18	17	0.699638	0.506198	0.494497	0.699638
19	18	0.699744	0.519547	0.494378	0.699744
20	19	0.699616	0.512163	0.494212	0.699616
21	20	0.699616	0.514659	0.494054	0.699616
22	21	0.699744	0.518425	0.493966	0.699744
23	22	0.700341	0.504312	0.493795	0.700341
24	23	0.700320	0.509438	0.493670	0.700320
25	24	0.700384	0.522370	0.493560	0.700384
26	25	0.700703	0.514388	0.493440	0.700703
27	26	0.701044	0.518776	0.493311	0.701044
28	27	0.700959	0.513123	0.493223	0.700959
29	28	0.700767	0.507008	0.493156	0.700767
30	29	0.700512	0.513708	0.493113	0.700512
31	30	0.700618	0.508792	0.493081	0.700618
32	31	0.700512	0.521369	0.493021	0.700512
33	32	0.700405	0.506127	0.493001	0.700405
34	33	0.700384	0.513557	0.493006	0.700384
35	34	0.700107	0.520000	0.492998	0.700107
36	35	0.699979	0.502399	0.492965	0.699979
37	36	0.700234	0.511299	0.492943	0.700234
38	37	0.699936	0.525559	0.492926	0.699936
39	38	0.699915	0.505949	0.492891	0.699915
40	39	0.700085	0.519844	0.492859	0.700085
41	40	0.700043	0.512440	0.492840	0.700043
42	41	0.699915	0.501712	0.492847	0.699915
43	42	0.700107	0.503288	0.492813	0.700107
44	43	0.699979	0.510003	0.492808	0.699979
45	44	0.700149	0.507114	0.492817	0.700149
46	45	0.700064	0.503447	0.492797	0.700064
47	46	0.700171	0.516000	0.492804	0.700171
48	47	0.700085	0.505948	0.492805	0.700085
49	48	0.700064	0.515678	0.492811	0.700064
50	49	0.700021	0.502784	0.492803	0.700021
