# metric: mean |SHAP|
rank,feature,value
1,migraine_rate_last7,0.02838662
2,migraine_rate_last3,0.02068801
3,headache_free_streak,0.01095605
4,menstruation_today,0.00850763
5,inappropriate_lighting,0.00693316
6,days_since_last_migraine,0.00522569
7,exercise_days_7day,0.00447589
8,migraine_yesterday,0.00398000
9,consecutive_sedentary_days,0.00330691
10,inappropriate_lighting_today,0.00330635
11,ovulation_today,0.00318499
12,recording_gap_flag,0.00308695
13,sleep_disruption_today,0.00305386
14,specific_smells_today,0.00266811
15,sunlight,0.00241420
16,sleep_variability_7day,0.00236195
17,any_sleep_issue_today,0.00205872
18,overeating_today,0.00176811
19,stress_today,0.00153045
20,oversleeping_today,0.00145704
21,consecutive_stress_days,0.00143877
22,travel_today,0.00141190
23,excessive_smoking_today,0.00137969
24,lack_of_sleep_today,0.00129712
25,sleep_debt_3day,0.00128817
26,consecutive_exercise_days,0.00123012
27,physical_fatigue_today,0.00119847
28,sunlight_today,0.00118539
29,weather_change_today,0.00113230
30,no_exercise_today,0.00099685
31,days_since_last_record,0.00098093
32,irregular_meals_today,0.00094158
33,recent_weekend_sleep_issues,0.00093905
34,dow,0.00084868
35,weather_headache_interaction,0.00065573
36,vigorous_exercise_min,0.00065138
37,excessive_caffeine_today,0.00064764
38,emotional_changes_today,0.00061954
39,weather_change_yesterday,0.00061280
40,exercise_as_trigger,0.00060828
41,cheese_chocolate_today,0.00060471
42,cheese_chocolate,0.00059397
43,noise_today,0.00053177
44,exercise_today,0.00044286
45,stress_drop_today,0.00043274
46,weather_instability_3day,0.00042542
47,moderate_exercise_min,0.00040274
48,excessive_smoking,0.00033416
49,consecutive_weather_changes,0.00032000
50,alcohol_today,0.00029014
51,consecutive_trigger_days,0.00024958
52,exercise_as_trigger_today,0.00020001
