# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-10T22:48:40
# UUID: fc1de9d1-c639-490a-9d53-0aa960a2348b
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3941 rows x 52 features
# Positives:   948 (24.1%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.643179	0.513062	0.534371	0.643179
2	1	0.643109	0.518388	0.534387	0.643109
3	2	0.643021	0.526196	0.534270	0.643021
4	3	0.643214	0.515917	0.534167	0.643214
5	4	0.643197	0.520623	0.534137	0.643197
6	5	0.643038	0.513072	0.534108	0.643038
7	6	0.644270	0.527497	0.533590	0.644270
8	7	0.643513	0.514376	0.533470	0.643513
9	8	0.642845	0.519288	0.533668	0.642845
10	9	0.642774	0.514688	0.533562	0.642774
11	10	0.642915	0.511545	0.533616	0.642915
12	11	0.643021	0.517518	0.533779	0.643021
13	12	0.642105	0.502504	0.534420	0.642105
14	13	0.642299	0.508974	0.535056	0.642299
15	14	0.641595	0.509913	0.535803	0.641595
16	15	0.639923	0.504577	0.536707	0.639923
17	16	0.638602	0.529101	0.537490	0.638602
18	17	0.638162	0.532291	0.537744	0.638162
19	18	0.636508	0.523135	0.537708	0.636508
20	19	0.636472	0.510053	0.537850	0.636472
21	20	0.636068	0.506280	0.538031	0.636068
22	21	0.635698	0.517191	0.538018	0.635698
23	22	0.635223	0.502541	0.538227	0.635223
24	23	0.634959	0.517453	0.538361	0.634959
25	24	0.633938	0.512352	0.538544	0.633938
26	25	0.633586	0.514453	0.538631	0.633586
27	26	0.633709	0.506630	0.538746	0.633709
28	27	0.633286	0.517031	0.538877	0.633286
29	28	0.633234	0.517055	0.539008	0.633234
30	29	0.633568	0.504594	0.539121	0.633568
31	30	0.634061	0.497767	0.539278	0.634061
32	31	0.634114	0.505827	0.539537	0.634114
33	32	0.634536	0.510006	0.539690	0.634536
34	33	0.634941	0.512256	0.539833	0.634941
35	34	0.634853	0.512478	0.540009	0.634853
36	35	0.635047	0.495841	0.540194	0.635047
37	36	0.633938	0.515243	0.540330	0.633938
38	37	0.633955	0.499491	0.540489	0.633955
39	38	0.633498	0.503219	0.540544	0.633498
40	39	0.634325	0.521118	0.540549	0.634325
41	40	0.633867	0.512275	0.540537	0.633867
42	41	0.633990	0.520576	0.540522	0.633990
43	42	0.634096	0.501024	0.540540	0.634096
44	43	0.634096	0.508551	0.540559	0.634096
45	44	0.634008	0.500991	0.540600	0.634008
46	45	0.633902	0.518276	0.540583	0.633902
47	46	0.633814	0.515101	0.540625	0.633814
48	47	0.633902	0.526272	0.540579	0.633902
49	48	0.633902	0.507474	0.540614	0.633902
50	49	0.633744	0.534350	0.540577	0.633744
