# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-10T22:52:17
# UUID: 300e0923-a1f5-4924-9e86-6e46c0fface0
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3160 rows x 52 features
# Positives:   742 (23.5%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.652250	0.510977	0.510555	0.652250
2	1	0.651887	0.503460	0.510634	0.651887
3	2	0.651524	0.488777	0.510850	0.651524
4	3	0.650826	0.519200	0.511108	0.650826
5	4	0.651078	0.516824	0.511194	0.651078
6	5	0.650938	0.510693	0.511237	0.650938
7	6	0.650156	0.510911	0.511354	0.650156
8	7	0.650436	0.500107	0.511465	0.650436
9	8	0.649654	0.521039	0.511565	0.649654
10	9	0.649486	0.526671	0.511674	0.649486
11	10	0.648928	0.500018	0.511872	0.648928
12	11	0.648956	0.493642	0.511927	0.648956
13	12	0.650212	0.521242	0.511900	0.650212
14	13	0.650715	0.507080	0.511877	0.650715
15	14	0.650380	0.530086	0.511796	0.650380
16	15	0.649877	0.487905	0.511758	0.649877
17	16	0.650296	0.503865	0.511734	0.650296
18	17	0.650240	0.496224	0.511722	0.650240
19	18	0.649654	0.523890	0.511753	0.649654
20	19	0.649486	0.520255	0.511737	0.649486
21	20	0.649151	0.497229	0.511743	0.649151
22	21	0.648621	0.488925	0.511830	0.648621
23	22	0.648984	0.496320	0.511806	0.648984
24	23	0.648928	0.498484	0.511874	0.648928
25	24	0.649095	0.504998	0.511978	0.649095
26	25	0.649458	0.519604	0.511965	0.649458
27	26	0.649793	0.495253	0.511959	0.649793
28	27	0.649877	0.493116	0.511950	0.649877
29	28	0.650128	0.508170	0.511933	0.650128
30	29	0.650128	0.488214	0.511958	0.650128
31	30	0.650491	0.508812	0.511899	0.650491
32	31	0.650491	0.522267	0.511831	0.650491
33	32	0.650743	0.506190	0.511751	0.650743
34	33	0.650715	0.524739	0.511663	0.650715
35	34	0.650910	0.517864	0.511556	0.650910
36	35	0.650547	0.495939	0.511472	0.650547
37	36	0.650519	0.508471	0.511428	0.650519
38	37	0.650659	0.515998	0.511352	0.650659
39	38	0.651106	0.503246	0.511282	0.651106
40	39	0.651050	0.514692	0.511246	0.651050
41	40	0.651106	0.496096	0.511196	0.651106
42	41	0.650771	0.510679	0.511156	0.650771
43	42	0.651134	0.509636	0.511161	0.651134
44	43	0.650826	0.496453	0.511116	0.650826
45	44	0.650910	0.507502	0.511122	0.650910
46	45	0.651078	0.502958	0.511100	0.651078
47	46	0.651189	0.514059	0.511075	0.651189
48	47	0.650994	0.492717	0.511092	0.650994
49	48	0.650910	0.504421	0.511099	0.650910
50	49	0.651217	0.523537	0.511029	0.651217
