# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-10T22:08:24
# UUID: 09218ae1-ab8e-427a-9c31-d2915972f638
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 4282 rows x 52 features
# Positives:   1028 (24.0%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.699716	0.522584	0.498322	0.699716
2	1	0.699582	0.515393	0.498259	0.699582
3	2	0.700090	0.509597	0.498201	0.700090
4	3	0.700463	0.515973	0.498076	0.700463
5	4	0.699746	0.519928	0.498121	0.699746
6	5	0.698880	0.512026	0.498405	0.698880
7	6	0.698163	0.517581	0.498670	0.698163
8	7	0.696594	0.517325	0.499065	0.696594
9	8	0.694966	0.505456	0.499928	0.694966
10	9	0.695594	0.509461	0.500575	0.695594
11	10	0.695579	0.510706	0.500415	0.695579
12	11	0.695459	0.516327	0.500003	0.695459
13	12	0.696863	0.518614	0.499748	0.696863
14	13	0.697774	0.519209	0.499544	0.697774
15	14	0.698611	0.537801	0.499191	0.698611
16	15	0.699627	0.535474	0.498904	0.699627
17	16	0.699791	0.514071	0.498640	0.699791
18	17	0.700523	0.516957	0.498406	0.700523
19	18	0.700642	0.507413	0.498085	0.700642
20	19	0.701075	0.517002	0.497831	0.701075
21	20	0.701285	0.527882	0.497772	0.701285
22	21	0.701419	0.549765	0.497859	0.701419
23	22	0.701359	0.517292	0.497903	0.701359
24	23	0.700941	0.505667	0.497761	0.700941
25	24	0.701255	0.512355	0.497731	0.701255
26	25	0.700896	0.520901	0.497805	0.700896
27	26	0.700448	0.512095	0.497799	0.700448
28	27	0.700717	0.507961	0.497772	0.700717
29	28	0.700986	0.506977	0.497715	0.700986
30	29	0.700747	0.524378	0.497735	0.700747
31	30	0.700941	0.518234	0.497676	0.700941
32	31	0.701001	0.522480	0.497678	0.701001
33	32	0.700881	0.514657	0.497676	0.700881
34	33	0.700956	0.518553	0.497648	0.700956
35	34	0.701165	0.521778	0.497643	0.701165
36	35	0.700986	0.512118	0.497594	0.700986
37	36	0.700941	0.523574	0.497615	0.700941
38	37	0.700612	0.529625	0.497663	0.700612
39	38	0.700612	0.519834	0.497632	0.700612
40	39	0.700373	0.518077	0.497649	0.700373
41	40	0.700015	0.522358	0.497682	0.700015
42	41	0.699985	0.518548	0.497628	0.699985
43	42	0.700105	0.522126	0.497635	0.700105
44	43	0.700373	0.518343	0.497641	0.700373
45	44	0.700358	0.519703	0.497622	0.700358
46	45	0.700299	0.513646	0.497621	0.700299
47	46	0.700269	0.519508	0.497642	0.700269
48	47	0.700239	0.519024	0.497625	0.700239
49	48	0.700045	0.512787	0.497645	0.700045
50	49	0.699940	0.513279	0.497637	0.699940
