# metric: mean |SHAP|
rank,feature,value
1,migraine_rate_last3,0.03061637
2,migraine_rate_last7,0.02710882
3,headache_free_streak,0.01828962
4,days_since_last_migraine,0.01417472
5,migraine_yesterday,0.00597462
6,inappropriate_lighting,0.00564261
7,menstruation_today,0.00428771
8,days_since_last_record,0.00358573
9,inappropriate_lighting_today,0.00344609
10,consecutive_sedentary_days,0.00299228
11,recent_weekend_sleep_issues,0.00271008
12,sleep_variability_7day,0.00269685
13,weather_instability_3day,0.00264596
14,dow,0.00259908
15,sleep_debt_3day,0.00245977
16,moderate_exercise_min,0.00233694
17,consecutive_stress_days,0.00219576
18,sleep_disruption_today,0.00199634
19,exercise_days_7day,0.00189593
20,physical_fatigue_today,0.00188306
21,consecutive_trigger_days,0.00182512
22,vigorous_exercise_min,0.00175321
23,specific_smells_today,0.00162466
24,excessive_smoking_today,0.00160292
25,weather_headache_interaction,0.00156483
26,consecutive_weather_changes,0.00153226
27,consecutive_exercise_days,0.00152847
28,exercise_today,0.00151239
29,weather_change_yesterday,0.00149770
30,sunlight_today,0.00149499
31,stress_today,0.00149102
32,excessive_caffeine_today,0.00144250
33,any_sleep_issue_today,0.00143387
34,emotional_changes_today,0.00141178
35,sunlight,0.00140281
36,oversleeping_today,0.00138538
37,ovulation_today,0.00136779
38,no_exercise_today,0.00136743
39,cheese_chocolate_today,0.00131659
40,lack_of_sleep_today,0.00131206
41,stress_drop_today,0.00123002
42,exercise_as_trigger,0.00119750
43,overeating_today,0.00117995
44,noise_today,0.00114616
45,weather_change_today,0.00113152
46,travel_today,0.00111834
47,irregular_meals_today,0.00102524
48,excessive_smoking,0.00098627
49,recording_gap_flag,0.00092745
50,alcohol_today,0.00092477
51,cheese_chocolate,0.00088909
52,exercise_as_trigger_today,0.00085044
