# metric: mean |SHAP|
rank,feature,value
1,headache_free_streak,0.02581270
2,migraine_rate_last7,0.02517165
3,migraine_rate_last3,0.01634613
4,migraine_yesterday,0.01499739
5,days_since_last_migraine,0.01152980
6,inappropriate_lighting_today,0.00640768
7,consecutive_sedentary_days,0.00605693
8,inappropriate_lighting,0.00596565
9,sleep_disruption_today,0.00533815
10,menstruation_today,0.00455410
11,any_sleep_issue_today,0.00368321
12,lack_of_sleep_today,0.00357216
13,stress_today,0.00343563
14,physical_fatigue_today,0.00324157
15,cheese_chocolate_today,0.00227804
16,alcohol_today,0.00221141
17,cheese_chocolate,0.00213599
18,sleep_debt_3day,0.00200109
19,travel_today,0.00178884
20,emotional_changes_today,0.00166112
21,sunlight_today,0.00144887
22,sunlight,0.00137856
23,recording_gap_flag,0.00129538
24,weather_instability_3day,0.00126144
25,weather_headache_interaction,0.00120836
26,exercise_days_7day,0.00117517
27,sleep_variability_7day,0.00109549
28,specific_smells_today,0.00106493
29,oversleeping_today,0.00097142
30,consecutive_stress_days,0.00092997
31,excessive_smoking_today,0.00083505
32,overeating_today,0.00083484
33,noise_today,0.00083046
34,days_since_last_record,0.00082821
35,no_exercise_today,0.00082705
36,excessive_smoking,0.00081831
37,dow,0.00080498
38,ovulation_today,0.00078577
39,irregular_meals_today,0.00068834
40,exercise_today,0.00067778
41,weather_change_yesterday,0.00065664
42,consecutive_exercise_days,0.00063964
43,stress_drop_today,0.00061397
44,weather_change_today,0.00044519
45,exercise_as_trigger_today,0.00044216
46,excessive_caffeine_today,0.00042986
47,consecutive_weather_changes,0.00032621
48,consecutive_trigger_days,0.00030957
49,exercise_as_trigger,0.00030833
50,recent_weekend_sleep_issues,0.00027981
51,moderate_exercise_min,0.00022516
52,vigorous_exercise_min,0.00016381
