# metric: mean |SHAP|
rank,feature,value
1,headache_free_streak,0.03115557
2,days_since_last_migraine,0.02902433
3,migraine_rate_last7,0.02690936
4,migraine_rate_last3,0.01463452
5,migraine_yesterday,0.01025473
6,inappropriate_lighting_today,0.00604290
7,inappropriate_lighting,0.00464277
8,menstruation_today,0.00460969
9,consecutive_sedentary_days,0.00307819
10,stress_today,0.00244737
11,sleep_variability_7day,0.00171149
12,sleep_disruption_today,0.00168462
13,consecutive_stress_days,0.00162117
14,lack_of_sleep_today,0.00138135
15,recording_gap_flag,0.00137192
16,days_since_last_record,0.00129868
17,consecutive_exercise_days,0.00127778
18,any_sleep_issue_today,0.00120622
19,physical_fatigue_today,0.00114645
20,sleep_debt_3day,0.00102038
21,exercise_days_7day,0.00086662
22,weather_instability_3day,0.00076547
23,exercise_today,0.00070131
24,specific_smells_today,0.00069222
25,consecutive_trigger_days,0.00067366
26,noise_today,0.00062171
27,emotional_changes_today,0.00060169
28,moderate_exercise_min,0.00055125
29,recent_weekend_sleep_issues,0.00051261
30,dow,0.00048635
31,stress_drop_today,0.00043044
32,no_exercise_today,0.00041168
33,sunlight_today,0.00030678
34,vigorous_exercise_min,0.00029730
35,irregular_meals_today,0.00026169
36,sunlight,0.00025872
37,exercise_as_trigger_today,0.00025042
38,ovulation_today,0.00024355
39,consecutive_weather_changes,0.00024046
40,weather_change_today,0.00023332
41,weather_headache_interaction,0.00022424
42,excessive_smoking,0.00021485
43,cheese_chocolate_today,0.00019282
44,travel_today,0.00018992
45,exercise_as_trigger,0.00017709
46,alcohol_today,0.00017684
47,cheese_chocolate,0.00016326
48,excessive_smoking_today,0.00014927
49,excessive_caffeine_today,0.00014303
50,weather_change_yesterday,0.00014159
51,oversleeping_today,0.00013538
52,overeating_today,0.00011247
