# metric: mean |SHAP|
rank,feature,value
1,headache_free_streak,0.02575519
2,migraine_rate_last7,0.02529268
3,days_since_last_migraine,0.01697266
4,migraine_rate_last3,0.01380792
5,migraine_yesterday,0.01146748
6,consecutive_sedentary_days,0.00718790
7,inappropriate_lighting,0.00411913
8,menstruation_today,0.00270165
9,sleep_disruption_today,0.00266643
10,lack_of_sleep_today,0.00236234
11,physical_fatigue_today,0.00224803
12,inappropriate_lighting_today,0.00206645
13,any_sleep_issue_today,0.00192571
14,stress_today,0.00187693
15,consecutive_stress_days,0.00171987
16,sleep_debt_3day,0.00163821
17,consecutive_exercise_days,0.00149817
18,exercise_days_7day,0.00141591
19,weather_instability_3day,0.00124017
20,sleep_variability_7day,0.00113148
21,days_since_last_record,0.00101982
22,recording_gap_flag,0.00091422
23,consecutive_trigger_days,0.00088343
24,weather_headache_interaction,0.00084111
25,recent_weekend_sleep_issues,0.00067088
26,emotional_changes_today,0.00065061
27,specific_smells_today,0.00064764
28,exercise_today,0.00061437
29,stress_drop_today,0.00053362
30,noise_today,0.00045083
31,moderate_exercise_min,0.00044043
32,no_exercise_today,0.00043844
33,sunlight_today,0.00041892
34,oversleeping_today,0.00039655
35,vigorous_exercise_min,0.00039236
36,consecutive_weather_changes,0.00038078
37,excessive_caffeine_today,0.00037727
38,dow,0.00037497
39,weather_change_yesterday,0.00037185
40,sunlight,0.00032192
41,exercise_as_trigger,0.00026168
42,weather_change_today,0.00024883
43,alcohol_today,0.00024376
44,irregular_meals_today,0.00023285
45,exercise_as_trigger_today,0.00021639
46,ovulation_today,0.00019534
47,travel_today,0.00018464
48,overeating_today,0.00015497
49,cheese_chocolate_today,0.00014906
50,excessive_smoking,0.00012312
51,cheese_chocolate,0.00012270
52,excessive_smoking_today,0.00012089
