# metric: mean |SHAP|
rank,feature,value
1,migraine_rate_last7,0.02582833
2,headache_free_streak,0.01665958
3,migraine_rate_last3,0.01605976
4,days_since_last_migraine,0.01475101
5,migraine_yesterday,0.01144312
6,consecutive_sedentary_days,0.00722637
7,days_since_last_record,0.00332728
8,recording_gap_flag,0.00284301
9,physical_fatigue_today,0.00283578
10,inappropriate_lighting_today,0.00249606
11,lack_of_sleep_today,0.00227902
12,inappropriate_lighting,0.00223768
13,sleep_disruption_today,0.00215452
14,any_sleep_issue_today,0.00210686
15,consecutive_exercise_days,0.00181443
16,menstruation_today,0.00176010
17,sleep_variability_7day,0.00151495
18,exercise_days_7day,0.00144391
19,sleep_debt_3day,0.00136870
20,consecutive_stress_days,0.00128040
21,stress_today,0.00123358
22,weather_instability_3day,0.00108296
23,specific_smells_today,0.00090028
24,stress_drop_today,0.00067927
25,noise_today,0.00065986
26,irregular_meals_today,0.00063757
27,consecutive_trigger_days,0.00063574
28,moderate_exercise_min,0.00055817
29,exercise_today,0.00055135
30,oversleeping_today,0.00054387
31,vigorous_exercise_min,0.00050852
32,recent_weekend_sleep_issues,0.00050851
33,emotional_changes_today,0.00048920
34,excessive_caffeine_today,0.00048477
35,sunlight_today,0.00046642
36,dow,0.00046466
37,consecutive_weather_changes,0.00044988
38,exercise_as_trigger_today,0.00043552
39,sunlight,0.00043176
40,no_exercise_today,0.00036624
41,exercise_as_trigger,0.00033455
42,overeating_today,0.00033157
43,weather_headache_interaction,0.00032139
44,excessive_smoking_today,0.00031258
45,cheese_chocolate,0.00027753
46,weather_change_yesterday,0.00027374
47,alcohol_today,0.00026546
48,cheese_chocolate_today,0.00026031
49,weather_change_today,0.00022817
50,ovulation_today,0.00021722
51,excessive_smoking,0.00017506
52,travel_today,0.00016610
