# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T00:03:33
# UUID: 3ed57cc8-d9c6-4c68-94b9-7cb4d1bd41d9
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3941 rows x 31 features
# Positives:   948 (24.1%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.564689	0.539576	0.544815	0.564689
2	1	0.564249	0.542005	0.544805	0.564249
3	2	0.563651	0.552748	0.544633	0.563651
4	3	0.564795	0.545862	0.544323	0.564795
5	4	0.563528	0.540836	0.544104	0.563528
6	5	0.562348	0.549386	0.543885	0.562348
7	6	0.561169	0.543279	0.543771	0.561169
8	7	0.560377	0.539615	0.543859	0.560377
9	8	0.559215	0.550551	0.543887	0.559215
10	9	0.557138	0.545066	0.543898	0.557138
11	10	0.558370	0.544237	0.543935	0.558370
12	11	0.558916	0.542524	0.544106	0.558916
13	12	0.557895	0.535241	0.544311	0.557895
14	13	0.556927	0.544797	0.544533	0.556927
15	14	0.556381	0.541338	0.544700	0.556381
16	15	0.555941	0.538357	0.544950	0.555941
17	16	0.558124	0.548225	0.545178	0.558124
18	17	0.557595	0.554024	0.545194	0.557595
19	18	0.557085	0.547386	0.545205	0.557085
20	19	0.557050	0.547895	0.545180	0.557050
21	20	0.557595	0.540922	0.545136	0.557595
22	21	0.557595	0.542288	0.545157	0.557595
23	22	0.557736	0.545848	0.545191	0.557736
24	23	0.558616	0.546756	0.545179	0.558616
25	24	0.559637	0.540864	0.545093	0.559637
26	25	0.559620	0.539141	0.545053	0.559620
27	26	0.559708	0.543866	0.545060	0.559708
28	27	0.560377	0.540567	0.545035	0.560377
29	28	0.559127	0.542006	0.545002	0.559127
30	29	0.558704	0.533947	0.545021	0.558704
31	30	0.559532	0.535254	0.545112	0.559532
32	31	0.558599	0.540394	0.545219	0.558599
33	32	0.560641	0.540071	0.545219	0.560641
34	33	0.560430	0.542298	0.545313	0.560430
35	34	0.562771	0.539703	0.545337	0.562771
36	35	0.560658	0.545574	0.545406	0.560658
37	36	0.561697	0.540461	0.545388	0.561697
38	37	0.560870	0.534877	0.545539	0.560870
39	38	0.561362	0.538851	0.545563	0.561362
40	39	0.560958	0.539844	0.545615	0.560958
41	40	0.561996	0.548419	0.545607	0.561996
42	41	0.562155	0.555607	0.545650	0.562155
43	42	0.561186	0.541906	0.545675	0.561186
44	43	0.561626	0.545245	0.545631	0.561626
45	44	0.560870	0.542841	0.545630	0.560870
46	45	0.561714	0.538921	0.545624	0.561714
47	46	0.560218	0.543553	0.545682	0.560218
48	47	0.560746	0.537060	0.545655	0.560746
49	48	0.561063	0.537723	0.545657	0.561063
50	49	0.560782	0.558412	0.545650	0.560782
