# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T01:32:50
# UUID: cc374b13-0355-41f1-9b25-39ee77472fef
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 331 rows x 31 features
# Positives:   82 (24.8%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.550000	0.596942	0.553138	0.550000
2	1	0.550000	0.559705	0.552779	0.550000
3	2	0.550000	0.596216	0.552045	0.550000
4	3	0.550000	0.571669	0.551132	0.550000
5	4	0.550000	0.571957	0.550346	0.550000
6	5	0.550000	0.579838	0.550017	0.550000
7	6	0.550000	0.575525	0.549453	0.550000
8	7	0.545000	0.580098	0.549061	0.545000
9	8	0.545000	0.568858	0.549154	0.545000
10	9	0.542500	0.561683	0.549089	0.542500
11	10	0.542500	0.577231	0.549337	0.542500
12	11	0.550000	0.593583	0.549517	0.550000
13	12	0.555000	0.563551	0.549619	0.555000
14	13	0.555000	0.562188	0.549953	0.555000
15	14	0.550000	0.575222	0.550175	0.550000
16	15	0.555000	0.566032	0.550381	0.555000
17	16	0.545000	0.566545	0.550600	0.545000
18	17	0.542500	0.569744	0.550876	0.542500
19	18	0.537500	0.570830	0.551036	0.537500
20	19	0.540000	0.568051	0.551236	0.540000
21	20	0.530000	0.566926	0.551355	0.530000
22	21	0.540000	0.567186	0.551417	0.540000
23	22	0.532500	0.565022	0.551455	0.532500
24	23	0.530000	0.562661	0.551599	0.530000
25	24	0.540000	0.566069	0.551573	0.540000
26	25	0.542500	0.563777	0.551523	0.542500
27	26	0.557500	0.563719	0.551476	0.557500
28	27	0.547500	0.570383	0.551532	0.547500
29	28	0.552500	0.564970	0.551412	0.552500
30	29	0.550000	0.565773	0.551343	0.550000
31	30	0.565000	0.566617	0.551344	0.565000
32	31	0.560000	0.565999	0.551285	0.560000
33	32	0.552500	0.566034	0.551324	0.552500
34	33	0.567500	0.569104	0.551101	0.567500
35	34	0.567500	0.571469	0.551192	0.567500
36	35	0.562500	0.572392	0.551214	0.562500
37	36	0.562500	0.565668	0.551147	0.562500
38	37	0.565000	0.563909	0.551148	0.565000
39	38	0.567500	0.565903	0.551080	0.567500
40	39	0.557500	0.566321	0.551134	0.557500
41	40	0.567500	0.567584	0.551130	0.567500
42	41	0.575000	0.567776	0.550977	0.575000
43	42	0.570000	0.565786	0.551058	0.570000
44	43	0.572500	0.568328	0.551017	0.572500
45	44	0.570000	0.570664	0.551049	0.570000
46	45	0.570000	0.567412	0.551073	0.570000
47	46	0.570000	0.564108	0.551079	0.570000
48	47	0.572500	0.563574	0.550995	0.572500
49	48	0.570000	0.566613	0.551070	0.570000
50	49	0.570000	0.567414	0.551030	0.570000
