# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T01:33:26
# UUID: db05f8a5-c162-4c6c-99f1-d106f6f8ecc8
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 1213 rows x 31 features
# Positives:   354 (29.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.621262	0.594592	0.597867	0.621262
2	1	0.624917	0.591147	0.597661	0.624917
3	2	0.621096	0.609241	0.597437	0.621096
4	3	0.619435	0.600698	0.597317	0.619435
5	4	0.620598	0.600540	0.596891	0.620598
6	5	0.622425	0.613211	0.596812	0.622425
7	6	0.626578	0.602295	0.596718	0.626578
8	7	0.619934	0.596475	0.596859	0.619934
9	8	0.616777	0.604316	0.596807	0.616777
10	9	0.618605	0.595991	0.596711	0.618605
11	10	0.628405	0.595011	0.596480	0.628405
12	11	0.628239	0.595734	0.596305	0.628239
13	12	0.629070	0.598521	0.596157	0.629070
14	13	0.631561	0.611895	0.596004	0.631561
15	14	0.633389	0.593705	0.595757	0.633389
16	15	0.631561	0.593783	0.595554	0.631561
17	16	0.634219	0.590912	0.595320	0.634219
18	17	0.633223	0.588748	0.595043	0.633223
19	18	0.629900	0.604463	0.594760	0.629900
20	19	0.634385	0.596723	0.594508	0.634385
21	20	0.628239	0.585281	0.594194	0.628239
22	21	0.632724	0.602201	0.593853	0.632724
23	22	0.629568	0.591145	0.593532	0.629568
24	23	0.631561	0.592193	0.593251	0.631561
25	24	0.632724	0.591066	0.592910	0.632724
26	25	0.632226	0.587035	0.592647	0.632226
27	26	0.631728	0.597784	0.592408	0.631728
28	27	0.631894	0.606413	0.592314	0.631894
29	28	0.632890	0.592019	0.592071	0.632890
30	29	0.631561	0.606092	0.591975	0.631561
31	30	0.631395	0.598280	0.591742	0.631395
32	31	0.629734	0.607074	0.591594	0.629734
33	32	0.627907	0.597846	0.591624	0.627907
34	33	0.627076	0.584572	0.591512	0.627076
35	34	0.627907	0.585026	0.591441	0.627907
36	35	0.630066	0.597841	0.591276	0.630066
37	36	0.628239	0.606778	0.591267	0.628239
38	37	0.629402	0.595755	0.591224	0.629402
39	38	0.628571	0.587599	0.591109	0.628571
40	39	0.633721	0.579402	0.591163	0.633721
41	40	0.627741	0.579648	0.591060	0.627741
42	41	0.627907	0.591151	0.591048	0.627907
43	42	0.626744	0.597189	0.591075	0.626744
44	43	0.631561	0.588359	0.591075	0.631561
45	44	0.627907	0.595293	0.591048	0.627907
46	45	0.628239	0.601974	0.591007	0.628239
47	46	0.626910	0.581873	0.591025	0.626910
48	47	0.628405	0.584582	0.591030	0.628405
49	48	0.630066	0.595377	0.591030	0.630066
50	49	0.626412	0.586683	0.591033	0.626412
