# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T01:34:42
# UUID: b263f3fa-0cf6-4bb9-bdf4-d8e9a4cfa1bd
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 2272 rows x 31 features
# Positives:   606 (26.7%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.617174	0.571763	0.569041	0.617174
2	1	0.614952	0.574152	0.569035	0.614952
3	2	0.614359	0.587808	0.568885	0.614359
4	3	0.616630	0.578337	0.568673	0.616630
5	4	0.616927	0.587819	0.568644	0.616927
6	5	0.615347	0.570113	0.568719	0.615347
7	6	0.614507	0.568321	0.568708	0.614507
8	7	0.615149	0.570079	0.568732	0.615149
9	8	0.612384	0.577297	0.568753	0.612384
10	9	0.612483	0.572483	0.568711	0.612483
11	10	0.611693	0.570046	0.568583	0.611693
12	11	0.611199	0.574653	0.568491	0.611199
13	12	0.614408	0.572230	0.568359	0.614408
14	13	0.616680	0.566956	0.568294	0.616680
15	14	0.613569	0.568145	0.568253	0.613569
16	15	0.615248	0.570435	0.568176	0.615248
17	16	0.614310	0.566510	0.568213	0.614310
18	17	0.608779	0.573525	0.568266	0.608779
19	18	0.608137	0.565133	0.568346	0.608137
20	19	0.611100	0.570788	0.568399	0.611100
21	20	0.611693	0.572540	0.568507	0.611693
22	21	0.611051	0.569743	0.568539	0.611051
23	22	0.610606	0.570019	0.568606	0.610606
24	23	0.612236	0.576269	0.568595	0.612236
25	24	0.610656	0.567709	0.568729	0.610656
26	25	0.607249	0.572162	0.568758	0.607249
27	26	0.607594	0.572232	0.568785	0.607594
28	27	0.610113	0.558351	0.568869	0.610113
29	28	0.608483	0.568672	0.568945	0.608483
30	29	0.609866	0.569728	0.569106	0.609866
31	30	0.606755	0.578169	0.569185	0.606755
32	31	0.608236	0.568784	0.569259	0.608236
33	32	0.607101	0.560208	0.569368	0.607101
34	33	0.604237	0.567169	0.569587	0.604237
35	34	0.607644	0.576397	0.569700	0.607644
36	35	0.610557	0.570097	0.569828	0.610557
37	36	0.610310	0.568108	0.569799	0.610310
38	37	0.608384	0.571691	0.569810	0.608384
39	38	0.607594	0.582879	0.569884	0.607594
40	39	0.609915	0.577153	0.569797	0.609915
41	40	0.607792	0.571538	0.569803	0.607792
42	41	0.605718	0.581078	0.569743	0.605718
43	42	0.607446	0.561730	0.569756	0.607446
44	43	0.610162	0.565723	0.569753	0.610162
45	44	0.610310	0.569780	0.569714	0.610310
46	45	0.605718	0.562319	0.569707	0.605718
47	46	0.610804	0.571982	0.569728	0.610804
48	47	0.610014	0.561186	0.569728	0.610014
49	48	0.608730	0.573409	0.569756	0.608730
50	49	0.610063	0.571573	0.569733	0.610063
