# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T21:09:24
# UUID: d38cdb1f-bc4d-4d29-85f5-034c87eafd48
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 331 rows x 26 features
# Positives:   82 (24.8%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.465000	0.590098	0.557959	0.465000
2	1	0.465000	0.561200	0.557689	0.465000
3	2	0.465000	0.593313	0.556867	0.465000
4	3	0.460000	0.578526	0.555797	0.460000
5	4	0.470000	0.571797	0.554668	0.470000
6	5	0.480000	0.571687	0.553740	0.480000
7	6	0.497500	0.566102	0.553259	0.497500
8	7	0.517500	0.572492	0.552671	0.517500
9	8	0.545000	0.567460	0.552269	0.545000
10	9	0.550000	0.567249	0.552087	0.550000
11	10	0.557500	0.576365	0.551900	0.557500
12	11	0.567500	0.597591	0.551651	0.567500
13	12	0.565000	0.566295	0.551764	0.565000
14	13	0.562500	0.563622	0.551685	0.562500
15	14	0.565000	0.573700	0.551671	0.565000
16	15	0.567500	0.565368	0.551728	0.567500
17	16	0.570000	0.565774	0.551726	0.570000
18	17	0.567500	0.570199	0.551794	0.567500
19	18	0.572500	0.569549	0.551797	0.572500
20	19	0.570000	0.567308	0.551883	0.570000
21	20	0.570000	0.567036	0.551852	0.570000
22	21	0.565000	0.566493	0.551887	0.565000
23	22	0.570000	0.566112	0.551916	0.570000
24	23	0.572500	0.564936	0.551881	0.572500
25	24	0.577500	0.566287	0.551851	0.577500
26	25	0.572500	0.564414	0.551931	0.572500
27	26	0.570000	0.564892	0.551861	0.570000
28	27	0.570000	0.570415	0.551868	0.570000
29	28	0.582500	0.565532	0.551859	0.582500
30	29	0.575000	0.566401	0.551851	0.575000
31	30	0.575000	0.568036	0.551788	0.575000
32	31	0.565000	0.566060	0.551906	0.565000
33	32	0.575000	0.566062	0.551865	0.575000
34	33	0.580000	0.569227	0.551874	0.580000
35	34	0.565000	0.571887	0.551895	0.565000
36	35	0.565000	0.573295	0.551868	0.565000
37	36	0.585000	0.567388	0.551793	0.585000
38	37	0.580000	0.564863	0.551834	0.580000
39	38	0.580000	0.566132	0.551850	0.580000
40	39	0.585000	0.565958	0.551831	0.585000
41	40	0.580000	0.567080	0.551862	0.580000
42	41	0.582500	0.567534	0.551848	0.582500
43	42	0.580000	0.566110	0.551875	0.580000
44	43	0.572500	0.568363	0.551882	0.572500
45	44	0.580000	0.569246	0.551883	0.580000
46	45	0.582500	0.568797	0.551821	0.582500
47	46	0.580000	0.565272	0.551855	0.580000
48	47	0.572500	0.563768	0.551885	0.572500
49	48	0.582500	0.566086	0.551846	0.582500
50	49	0.580000	0.569044	0.551879	0.580000
