# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T23:23:32
# UUID: 660b906d-07f1-4546-add7-90cd93e4cca4
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 1213 rows x 26 features
# Positives:   354 (29.2%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	10	0.602326	0.595928	0.596728	0.602326
2	11	0.598007	0.596092	0.596738	0.598007
3	12	0.597674	0.599212	0.596668	0.597674
4	13	0.603488	0.610347	0.596621	0.603488
5	14	0.604817	0.594286	0.596472	0.604817
6	15	0.608306	0.590015	0.596203	0.608306
7	16	0.596844	0.591246	0.596052	0.596844
8	17	0.604817	0.590653	0.595786	0.604817
9	18	0.602492	0.602747	0.595599	0.602492
10	19	0.606146	0.598659	0.595326	0.606146
11	20	0.604319	0.585032	0.595056	0.604319
12	21	0.601163	0.602032	0.594774	0.601163
13	22	0.604817	0.593888	0.594481	0.604817
14	23	0.603322	0.594868	0.594280	0.603322
15	24	0.605150	0.591925	0.593985	0.605150
16	25	0.598671	0.588398	0.593761	0.598671
17	26	0.602658	0.601622	0.593547	0.602658
18	27	0.595017	0.610402	0.593391	0.595017
19	28	0.610797	0.592461	0.593200	0.610797
20	29	0.606146	0.606658	0.593095	0.606146
21	30	0.598173	0.599235	0.592989	0.598173
22	31	0.595515	0.602542	0.592893	0.595515
23	32	0.592359	0.597293	0.592775	0.592359
24	33	0.586877	0.584934	0.592705	0.586877
25	34	0.592857	0.586093	0.592557	0.592857
26	35	0.590698	0.602274	0.592493	0.590698
27	36	0.587708	0.606614	0.592427	0.587708
28	37	0.593522	0.596155	0.592351	0.593522
29	38	0.607143	0.590019	0.592176	0.607143
30	39	0.590698	0.579196	0.592159	0.590698
31	40	0.586877	0.579107	0.592052	0.586877
32	41	0.604651	0.591119	0.591880	0.604651
33	42	0.600166	0.598554	0.591808	0.600166
34	43	0.600332	0.591307	0.591774	0.600332
35	44	0.600166	0.596913	0.591662	0.600166
36	45	0.605482	0.605227	0.591647	0.605482
37	46	0.596678	0.581714	0.591586	0.596678
38	47	0.602492	0.588022	0.591531	0.602492
39	48	0.606478	0.596111	0.591526	0.606478
40	49	0.617110	0.585323	0.591442	0.617110
