# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T16:31:39
# UUID: fb0a7bab-e837-421c-95e9-620cfed59143
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3160 rows x 26 features
# Positives:   742 (23.5%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.547214	0.538035	0.546071	0.547214
2	1	0.549112	0.532062	0.546058	0.549112
3	2	0.552239	0.534410	0.546013	0.552239
4	3	0.554696	0.539317	0.545671	0.554696
5	4	0.558577	0.541863	0.545173	0.558577
6	5	0.561621	0.538617	0.544763	0.561621
7	6	0.557628	0.535976	0.544491	0.557628
8	7	0.553747	0.537850	0.544313	0.553747
9	8	0.557879	0.537576	0.544095	0.557879
10	9	0.559359	0.545446	0.543878	0.559359
11	10	0.564748	0.537644	0.543735	0.564748
12	11	0.564440	0.539554	0.543571	0.564440
13	12	0.566060	0.541581	0.543344	0.566060
14	13	0.563966	0.530656	0.543223	0.563966
15	14	0.565362	0.548141	0.543080	0.565362
16	15	0.566004	0.534989	0.543000	0.566004
17	16	0.565418	0.532440	0.542974	0.565418
18	17	0.567177	0.527941	0.543097	0.567177
19	18	0.562402	0.531189	0.543287	0.562402
20	19	0.565138	0.538159	0.543438	0.565138
21	20	0.565446	0.535430	0.543588	0.565446
22	21	0.566786	0.536684	0.543722	0.566786
23	22	0.564105	0.534696	0.543815	0.564105
24	23	0.562374	0.534413	0.543912	0.562374
25	24	0.567260	0.538699	0.543993	0.567260
26	25	0.563435	0.545443	0.544001	0.563435
27	26	0.565864	0.531380	0.544012	0.565864
28	27	0.567763	0.534014	0.543997	0.567763
29	28	0.564413	0.542458	0.543960	0.564413
30	29	0.566479	0.531882	0.543904	0.566479
31	30	0.567260	0.539813	0.543836	0.567260
32	31	0.567456	0.541459	0.543749	0.567456
33	32	0.565948	0.534602	0.543674	0.565948
34	33	0.566172	0.538189	0.543597	0.566172
35	34	0.567205	0.541393	0.543546	0.567205
36	35	0.565809	0.530677	0.543527	0.565809
37	36	0.566451	0.538388	0.543495	0.566451
38	37	0.567540	0.535280	0.543452	0.567540
39	38	0.567847	0.529450	0.543440	0.567847
40	39	0.567651	0.532812	0.543417	0.567651
41	40	0.567931	0.538984	0.543411	0.567931
42	41	0.568796	0.534395	0.543377	0.568796
43	42	0.567707	0.530465	0.543384	0.567707
44	43	0.568042	0.530590	0.543375	0.568042
45	44	0.568405	0.548684	0.543373	0.568405
46	45	0.567372	0.536345	0.543373	0.567372
47	46	0.568377	0.533462	0.543348	0.568377
48	47	0.568238	0.531962	0.543345	0.568238
49	48	0.567540	0.530385	0.543348	0.567540
50	49	0.567233	0.532986	0.543369	0.567233
