# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T16:40:57
# UUID: ca942f85-10f7-4c9e-b0e2-c8b99bab4cdd
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3941 rows x 26 features
# Positives:   948 (24.1%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.601690	0.542062	0.541666	0.601690
2	1	0.602288	0.543208	0.541695	0.602288
3	2	0.600669	0.554880	0.541579	0.600669
4	3	0.601021	0.545360	0.541355	0.601021
5	4	0.597624	0.542935	0.541182	0.597624
6	5	0.595881	0.551834	0.541097	0.595881
7	6	0.600510	0.543007	0.541083	0.600510
8	7	0.600651	0.541624	0.541071	0.600651
9	8	0.600000	0.548219	0.541042	0.600000
10	9	0.605703	0.544673	0.541013	0.605703
11	10	0.604982	0.545725	0.541072	0.604982
12	11	0.605826	0.544286	0.541140	0.605826
13	12	0.606038	0.537833	0.541203	0.606038
14	13	0.604013	0.545867	0.541271	0.604013
15	14	0.597131	0.543390	0.541327	0.597131
16	15	0.595652	0.539912	0.541398	0.595652
17	16	0.595564	0.550381	0.541536	0.595564
18	17	0.597606	0.552993	0.541567	0.597606
19	18	0.597588	0.547630	0.541585	0.597588
20	19	0.597870	0.550615	0.541603	0.597870
21	20	0.597993	0.541081	0.541619	0.597993
22	21	0.599120	0.542701	0.541648	0.599120
23	22	0.598574	0.546975	0.541652	0.598574
24	23	0.599824	0.548189	0.541726	0.599824
25	24	0.600370	0.542033	0.541738	0.600370
26	25	0.598257	0.542502	0.541793	0.598257
27	26	0.597852	0.545164	0.541817	0.597852
28	27	0.594913	0.543745	0.541865	0.594913
29	28	0.595054	0.544178	0.541874	0.595054
30	29	0.595599	0.536330	0.541913	0.595599
31	30	0.595758	0.537716	0.541910	0.595758
32	31	0.595687	0.541158	0.541940	0.595687
33	32	0.596233	0.541681	0.541902	0.596233
34	33	0.595177	0.543654	0.541915	0.595177
35	34	0.595723	0.542209	0.541946	0.595723
36	35	0.595987	0.547930	0.541919	0.595987
37	36	0.596303	0.542915	0.541873	0.596303
38	37	0.596356	0.539896	0.541857	0.596356
39	38	0.595899	0.540370	0.541857	0.595899
40	39	0.596955	0.541080	0.541815	0.596955
41	40	0.593100	0.550163	0.541811	0.593100
42	41	0.596814	0.556835	0.541795	0.596814
43	42	0.596796	0.544032	0.541782	0.596796
44	43	0.597588	0.546755	0.541761	0.597588
45	44	0.596251	0.545068	0.541764	0.596251
46	45	0.597043	0.540997	0.541759	0.597043
47	46	0.596673	0.544696	0.541752	0.596673
48	47	0.596955	0.541709	0.541759	0.596955
49	48	0.598099	0.539820	0.541745	0.598099
50	49	0.597412	0.558557	0.541765	0.597412
