# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-22T15:59:58
# UUID: 49c632fe-40a0-4c9f-9f31-1a22e71a4c7d
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3229 rows x 26 features
# Positives:   759 (23.5%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.596839	0.542299	0.541183	0.596839
2	1	0.596518	0.519536	0.541204	0.596518
3	2	0.597748	0.524143	0.541288	0.597748
4	3	0.599299	0.528924	0.541331	0.599299
5	4	0.599166	0.533066	0.541205	0.599166
6	5	0.603204	0.528340	0.541000	0.603204
7	6	0.610585	0.524245	0.540810	0.610585
8	7	0.613741	0.526743	0.540857	0.613741
9	8	0.614864	0.528033	0.540704	0.614864
10	9	0.614570	0.534959	0.540548	0.614570
11	10	0.612725	0.536411	0.540343	0.612725
12	11	0.613634	0.532653	0.540123	0.613634
13	12	0.614303	0.533639	0.539847	0.614303
14	13	0.615426	0.532750	0.539548	0.615426
15	14	0.618448	0.525105	0.539215	0.618448
16	15	0.618020	0.528867	0.538896	0.618020
17	16	0.619972	0.531317	0.538728	0.619972
18	17	0.620347	0.527493	0.538609	0.620347
19	18	0.621283	0.527681	0.538486	0.621283
20	19	0.620774	0.535865	0.538378	0.620774
21	20	0.619464	0.549167	0.538234	0.619464
22	21	0.619731	0.525980	0.538121	0.619731
23	22	0.616736	0.541431	0.537888	0.616736
24	23	0.614650	0.538365	0.537691	0.614650
25	24	0.613447	0.534136	0.537621	0.613447
26	25	0.615132	0.529197	0.537579	0.615132
27	26	0.615105	0.530324	0.537544	0.615105
28	27	0.615185	0.528890	0.537519	0.615185
29	28	0.616121	0.525088	0.537461	0.616121
30	29	0.616763	0.528054	0.537387	0.616763
31	30	0.617191	0.527887	0.537369	0.617191
32	31	0.623074	0.528396	0.537420	0.623074
33	32	0.612564	0.530639	0.537450	0.612564
34	33	0.621523	0.532297	0.537431	0.621523
35	34	0.621229	0.533061	0.537464	0.621229
36	35	0.621470	0.530999	0.537419	0.621470
37	36	0.620266	0.535060	0.537374	0.620266
38	37	0.620240	0.534161	0.537340	0.620240
39	38	0.614303	0.526705	0.537350	0.614303
40	39	0.613473	0.535372	0.537330	0.613473
41	40	0.617137	0.527196	0.537323	0.617137
42	41	0.616201	0.529312	0.537289	0.616201
43	42	0.619357	0.528731	0.537321	0.619357
44	43	0.617218	0.528256	0.537305	0.617218
45	44	0.616389	0.524276	0.537320	0.616389
46	45	0.616736	0.538550	0.537267	0.616736
47	46	0.615720	0.525072	0.537293	0.615720
48	47	0.617084	0.541698	0.537265	0.617084
49	48	0.616148	0.533439	0.537290	0.616148
50	49	0.615399	0.532302	0.537285	0.615399
