# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-11T00:10:16
# UUID: e6da3b31-490f-427d-9f66-95b4ba8f892c
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3161 rows x 31 features
# Positives:   742 (23.5%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 2
#   n_estimators_validation = 2
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.623297	0.545806	0.527075	0.623297
2	1	0.622543	0.542221	0.527147	0.622543
3	2	0.618913	0.543025	0.527153	0.618913
4	3	0.617210	0.542069	0.527298	0.617210
5	4	0.616345	0.539707	0.526456	0.616345
6	5	0.606377	0.547827	0.526099	0.606377
7	6	0.611961	0.542975	0.525815	0.611961
8	7	0.613022	0.539561	0.525283	0.613022
9	8	0.619220	0.542035	0.524869	0.619220
10	9	0.619891	0.549898	0.524966	0.619891
11	10	0.617071	0.542509	0.525064	0.617071
12	11	0.614418	0.540161	0.525016	0.614418
13	12	0.614362	0.539018	0.524904	0.614362
14	13	0.613971	0.536376	0.524452	0.613971
15	14	0.621091	0.542674	0.524135	0.621091
16	15	0.620198	0.534968	0.523691	0.620198
17	16	0.629048	0.537191	0.523210	0.629048
18	17	0.630333	0.534802	0.522827	0.630333
19	18	0.630891	0.542305	0.522534	0.630891
20	19	0.631198	0.544370	0.522257	0.631198
21	20	0.632846	0.537237	0.521948	0.632846
22	21	0.632929	0.548671	0.521883	0.632929
23	22	0.633572	0.535777	0.521696	0.633572
24	23	0.634130	0.547670	0.521513	0.634130
25	24	0.633739	0.536729	0.521388	0.633739
26	25	0.633125	0.540455	0.521330	0.633125
27	26	0.633432	0.532984	0.521033	0.633432
28	27	0.629691	0.541261	0.520967	0.629691
29	28	0.629607	0.546677	0.520878	0.629607
30	29	0.629551	0.535181	0.520754	0.629551
31	30	0.629467	0.538854	0.520690	0.629467
32	31	0.628183	0.538374	0.520578	0.628183
33	32	0.621817	0.541893	0.520579	0.621817
34	33	0.625949	0.542707	0.520530	0.625949
35	34	0.626508	0.543304	0.520528	0.626508
36	35	0.626061	0.543078	0.520619	0.626061
37	36	0.626815	0.538312	0.520623	0.626815
38	37	0.627792	0.536704	0.520630	0.627792
39	38	0.627206	0.550740	0.520682	0.627206
40	39	0.626229	0.539260	0.520668	0.626229
41	40	0.626424	0.544310	0.520707	0.626424
42	41	0.625335	0.546910	0.520812	0.625335
43	42	0.626731	0.542274	0.520766	0.626731
44	43	0.626173	0.537165	0.520829	0.626173
45	44	0.627289	0.542796	0.520825	0.627289
46	45	0.627345	0.541762	0.520847	0.627345
47	46	0.628295	0.540443	0.520878	0.628295
48	47	0.627206	0.539687	0.520883	0.627206
49	48	0.628406	0.540412	0.520850	0.628406
50	49	0.628350	0.539584	0.520837	0.628350
