# Fine-tuning convergence curve (PASS 1 of 2)
# Generated: 2026-05-13T16:47:27
# UUID: 554fe45d-8c58-43d2-a3b1-a7e7d3ca8c3b
# Pass 1 config: epochs=50, early_stopping=False
# Pass 1 purpose: record full per-epoch curve to demonstrate
#                 that the early-stopped model.joblib (PASS 2)
#                 is at the validation optimum, not the budget edge.
# Train shape: 3161 rows x 26 features
# Positives:   742 (23.5%)
#
# Logger config keys captured:
#   device = cuda
#   early_stopping = False
#   early_stopping_patience = 8
#   epochs = 50
#   eval_metric = roc_auc
#   extra_classifier_kwargs = None
#   finetune_ctx_query_split_ratio = 0.2
#   grad_clip_value = 1.0
#   learning_rate = 1e-05
#   lr_warmup_only = False
#   min_delta = 0.0001
#   n_estimators_final_inference = 8
#   n_estimators_finetune = 8
#   n_estimators_validation = 8
#   n_finetune_ctx_plus_query_samples = 10000
#   n_inference_subsample_samples = 50000
#   random_state = 0
#   save_checkpoint_interval = 10
#   time_limit = None
#   use_activation_checkpointing = True
#   use_fixed_preprocessing_seed = True
#   use_lr_scheduler = True
#   validation_split_ratio = 0.1
#   weight_decay = 0.01
#
step	train/epoch	val/ROC AUC	train/mean_loss	val/log_loss	val/roc_auc
1	0	0.586944	0.545630	0.526836	0.586944
2	1	0.587307	0.542576	0.527000	0.587307
3	2	0.587754	0.542509	0.527216	0.587754
4	3	0.587140	0.543310	0.527711	0.587140
5	4	0.587475	0.539643	0.527392	0.587475
6	5	0.591384	0.548181	0.527408	0.591384
7	6	0.589122	0.542195	0.527256	0.589122
8	7	0.590351	0.539971	0.526759	0.590351
9	8	0.594120	0.542139	0.526276	0.594120
10	9	0.592305	0.553411	0.526502	0.592305
11	10	0.593171	0.544449	0.526789	0.593171
12	11	0.598029	0.541240	0.526884	0.598029
13	12	0.602440	0.539719	0.526877	0.602440
14	13	0.601156	0.537654	0.526547	0.601156
15	14	0.598922	0.543303	0.526238	0.598922
16	15	0.601044	0.536773	0.525731	0.601044
17	16	0.601575	0.538608	0.525145	0.601575
18	17	0.600542	0.537657	0.524561	0.600542
19	18	0.602189	0.542892	0.524073	0.602189
20	19	0.608080	0.542783	0.523726	0.608080
21	20	0.598531	0.540049	0.523435	0.598531
22	21	0.601044	0.548390	0.523287	0.601044
23	22	0.596437	0.537993	0.523105	0.596437
24	23	0.599313	0.548117	0.523000	0.599313
25	24	0.602133	0.538109	0.522921	0.602133
26	25	0.600877	0.540703	0.522821	0.600877
27	26	0.599760	0.535887	0.522721	0.599760
28	27	0.600123	0.543082	0.522659	0.600123
29	28	0.604143	0.546617	0.522626	0.604143
30	29	0.601742	0.535785	0.522618	0.601742
31	30	0.602496	0.540713	0.522592	0.602496
32	31	0.596465	0.538059	0.522562	0.596465
33	32	0.600067	0.541849	0.522535	0.600067
34	33	0.600095	0.542183	0.522530	0.600095
35	34	0.602245	0.542930	0.522557	0.602245
36	35	0.596158	0.544978	0.522603	0.596158
37	36	0.602692	0.540193	0.522625	0.602692
38	37	0.600318	0.539262	0.522637	0.600318
39	38	0.600151	0.552976	0.522683	0.600151
40	39	0.605456	0.541948	0.522729	0.605456
41	40	0.602608	0.545803	0.522772	0.602608
42	41	0.602915	0.548364	0.522817	0.602915
43	42	0.602831	0.543157	0.522860	0.602831
44	43	0.599341	0.539306	0.522895	0.599341
45	44	0.599481	0.544955	0.522901	0.599481
46	45	0.600346	0.541625	0.522939	0.600346
47	46	0.602105	0.541995	0.522964	0.602105
48	47	0.602468	0.539759	0.522963	0.602468
49	48	0.602412	0.541552	0.522964	0.602412
50	49	0.602468	0.541848	0.522938	0.602468
